character,line
Simmons,"While he's in there, you need to guard it with your life. Like there's nothing more important in the world."
Piper,"Yeah, we get it."
Simmons,"No. You don't. If you keep this safe, I will give you anything you ask for in return. Understand?"
Piper,Yeah.
Simmons,"If I'm not back by sunup, open it. You'll know what to do."
Fitz,"Okay, good to go. We're on the clock now. Jemma. For us, it will be an instant. Stay strong."
Fitz,"One of us had to stay to establish the link between timelines, and it had to be me, because my mind couldn't handle the implant."
Enoch,Jemma Simmons... where is Leopold Fitz?
Simmons,I... I don't know.
Fitz,I didn't see the rest. But now we know it worked.
Simmons,You were with me that whole time. Fitz.
Fitz,Yeah. Jemma.
Simmons,"But why, though? W-Why... Why would we stay so long? I can't follow that logic. Why... Why would we do any of it? That doesn't... That's not a..."
Daisy,She's remembering that she knows him... just not that she loves him.
Simmons,That doesn't... make sense.
Fitz,"No, no, no. She's forgotten something far more important than that. Okay, I need to fill you guys in so you know what we're fighting for... so that we can map out a plan together and all be willing to do what needs to be done, no matter what the cost."
Mack,There are so many moving parts. Which is another reason why you built Coulson.
Fitz,"For this moment, yeah. ‘Cause we all need to work together to figure this out."
Coulson,"Well, lay it out for us, Fitz. 'Cause the enemy's coming up with a plan, and they're not happy."
Nathaniel,"Out of time? If you'd have given me control of your Hunters, I would've crushed them."
Sibyl,It seems you can't control anything.
Nathaniel,None of that matters anymore! We got pulled out of reality and into this Grateful Dead poster! I was moments away from ruling... saving the world from tyranny... whatever.
Sibyl,There's a 99% chance we're crossing to their original timeline... a world already under attack from a separate Chronicom force.
Nathaniel,We need to stop playing percentages and get to the business of killing.
Sibyl,Earth is still within our grasp.
Nathaniel,Nobody knows the future anymore.
Nathaniel,Hook her up. Time to take her power.
May,I think we're close!
Coulson,"Everyone's clear on what needs to be done. You two go with Fitz and Simmons, retake the Lighthouse."
Elena,Right.
Sousa,Copy that.
Mack,"But first, you need to put these on. We'll arrive just before we left. So, believe it or not, there's unfinished business at the Temple. Yeah, I know. I don't believe it, either."
May,The Hunters are gonna be scanning for us everywhere.
Coulson,Hang tight. We gotta wait for our moment.
Sibyl,Zephyr One is out there somewhere.
Hunter,We are not seeing any...
Sibyl,Find it. Destroy it.
Enoch,Good. They sent reinforcements.
Simmons,Thank you for coming. We must move quickly and calmly.
Fitz,Do not speak. Do not engage.
Elena,I'm just trying not to throw up in my helmet.
Simmons,Give Yo-Yo her breathing apparatus. Set the chamber temperature to minus-68 degrees.
Deke,Where's Fitz?
Simmons,I don't know. I can't know.
Coulson,Wait for it. Wait for it.
May,You don't need to keep saying it.
Hunter,Zephyr One spotted moving on the surface of the Earth.
Sibyl,Fire!
Coulson,Now!
Piper,Be ready.
Mack,"Quinjet team, head back to the Lighthouse."
Elena,On our way.
Mack,That's some serious flying there.
May,That used to be all I did.
Hunter,No sign of Zephyr One. It looks as though it's been destroyed.
Sibyl,"I don't believe it. No matter the percentages, these people always beat the odds."
Mack,They definitely heard that.
Daisy,"Remember, these things are radioactive, so be careful."
Daisy,Go. I got this. Go!
