character,line
May,"No. That's my point. You should feel free to pursue it, have a drink with him. No doubt Mack's picking up on it, too, but you shouldn't have to protect his feelings."
Elena,That's easy to say. How can I not?
May,He's a grown man.
Elena,"Look, I've tried everything, you know? I was willing to work on it, but..."
Mack,"He dove into his job 100%, locked himself in that office."
Elena,Mack didn't close the doors to avoid distractions. He just closed the doors on me.
May,"You two have been through a lot. But now it's been a year, and if last year has taught me anything, it's that life isn't meant to be lived alone. I don't often give advice, but that's my advice."
Elena,"Yeah, that was a lot of talking. Are you okay?"
May,"And besides, Keller's cute."
Elena,Not my type.
May,"Like I said, needs work."
Simmons,Complete loss of cabin pressure. It's times like this I wish we didn't change the timeline.
Daisy,"Well, good news is, Fitz was in cryo, so he'd be able to survive that, right?"
Simmons,I would think...
Davis,Over here!
Piper,"Well, at least it's not a dead body."
Davis,Yeah. But it's a dead end.
Keller,"Excuse me. Agent Rodriguez. Uh, Fox and I are eager to chase our wacky Ley Lines theory, but we need time in Control to sort through the data and we need approval from a unit commander and you're a unit commander, so..."
Elena,Go ahead. There have been stranger theories that proved to be true.
Keller,Thank you.
Elena,Agent May is onto us.
Keller,Really? ‘Cause I've been playing it pretty cool. She knows?
Elena,Suspects. I may be playing it too cool.
Keller,"So, you want to put on the brakes? Call off the night shift? And I was already planning to go full nerd herd this evening anyway, so..."
Elena,It would probably be wise.
Keller,It's all good. You know where to find me.
Elena,We'll just... We'll just take some time.
Keller,‘Cause it's wise.
Elena,For me. It's for myself. I'm not afraid of Mack finding out.
Keller,"Well, I am. He is not small. Honestly, I've too much respect for the guy. I'd much rather we tell him about it than have him stumble on it. He has enough to deal with."
Elena,"Yeah, and he's just started to trust you. - You don't want to mess that up."
Keller,"I absolutely do not. But it's your call, however you want to handle it. I'm more than happy to spend my nights alone."
Man,"Evening, Mack."
May,Thought I'd find you here.
Mack,Safe bet most nights.
May,Not a bad ritual.
Mack,"Well, taking advice from Coulson's files. He said, “Find a way to keep your feet on the ground, and stay in touch with the people we fight for.”"
May,So this is your grounding wire?
Mack,"It's one of three. Boss Man in the morning, bartender at night, Baptist church on Sundays."
May,Don't say you're here on S.H.I.E.L.D. business. You just like the beers they have on tap.
Mack,"Well, I'm glad you joined me for one."
May,"Actually, I'm here on S.H.I.E.L.D. business. I'm close on a Department Head."
Mack,"Close? What, he stop saying no?"
May,No. I need you to get the yes.
Mack,Name the time and place.
May,Here. Now.
Mack,"L-Let's not bring him here, Melinda. This is my sacred space."
May,"I thought that was the church. Anyway, he's at the end of the bar."
Benson,This the guy?
Mack,"Alphonso Mackenzie, Director of S.H.I.E.L.D. You can call me Mack."
May,"Mack, this is Dr. Marcus Benson, Director of Natural Sciences at Culver University."
Benson,You can call me whatever you want.
May,"Andrew's favorite teacher, then colleague, then friend. And an IQ of 160 doesn't hurt."
Benson,"This lady said more to me in one phone call than she did all the years that she was married to Garner. No details, of course, and, uh, well, I didn't need ‘em. I'm not gonna chase boogeymen with you guys."
Mack,And yet you drove two hours to get here?
Benson,"That's because of the university. I mean, I built that department from the ground up, and now they're canceling my classes and “lightening my load.” And I can't tell if it's because of this or this. No-good spies, meddling in other people's business."
May,I didn't meddle. And admit it...your drinking has gotten worse.
Benson,"So you did spy. I used to share a cocktail with the love of my life. But when he died, this became a way to remember him. Or forget. I don't know."
Mack,"Well, I'm hoping you haven't drowned your curiosity and that it'll still get the best of you. You know, we... lost someone, too. A leader, a teacher. We don't want to forget. We've tried to fill the hole he left behind, to rebuild. But we need brains."
Benson,You're talking plural. I only have the one.
Mack,"We want you to find more. S.H.I.E.L.D. Academy. Not overnight... we won't open it for a year or two... but we need you to build it from the ground up. In his name. S.H.I.E.L.D.'s second chance. And from what I can gather, yours, too."
Benson,In the meantime... boogeymen?
