character,line
Fitz,We're uploading some information to you. Whatever came out of that guy's chest... [beeping] ... I'm guessing it wasn't blood.
Simmons,I'll give it a look. See?
Hunter,Who doesn't like a good mystery?
Skye,You speak Portuguese?
Morse,I'm no expert. It's a pretty language. It's hard to gauge if someone's lying.
Skye,Are you an expert at that?
Morse,At lying or telling if someone's lying?
Skye,I have a feeling you're probably an expert at both.
Head Nurse,Can I help you?
Morse,"Hi, yes, we're looking for anyone who may have been injured in the incident at the pier or may have seen this man."
Head Nurse,"Hmm. No, he does not look familiar to me. As far as the injuries, I can ask around. The nurse who was working earlier took ill. So we are short-staffed. It may take a while."
Skye,"Okay. Well, we'll be here."
Morse,Wait. Is that woman all right? What happened to her?
Lady Sif,Yet you do not serve a king?
May,Not really how it works with us.
Lady Sif,I wonder if I serve the king as the great warrior you say I am.
May,"Odin? Oh, we know you do. You've met him."
Lady Sif,Shut... up.
Cardozo,It's her!
Coulson,"I was just conducting my interview with Mr. Cardozo here, asking him what he saw the other day, when..."
Cardozo,You are a dangerous monster.
Lady Sif,"I am no monster. I am sometimes dangerous, but only toward those who are deserving. I do not actually know. Is it only toward those who are..."
Coulson,"No, that was right."
Lady Sif,"Excellent. Answer his question, elderly man."
Coulson,"Look, just tell us what you saw after they fought."
Cardozo,The man destroyed my booth!
May,What does he want with balloons?
Cardozo,"He went for my helium, broke off the valves, and took them!"
Coulson,What does he need those for?
Simmons,"Sir, the boys were right. That definitely wasn't blood."
Mack,What are we talking about?
Simmons,"It was liquid nitrogen. The post was frozen solid and cracked. He must have been carrying a supply, and Sif must have damaged his containment hardware."
Coulson,So that's what he needed the tank valves for... to repair it.
May,Why carry nitrogen?
Coulson,"Might have needed it for fuel, might have needed it for a weapon."
May,"If he's alien, he might need it to breathe."
Lady Sif,"Not to breathe. Only seven intelligent species across the known realms require heightened levels of nitrogen gas, none humanoid. I learned this as a child. Did you not?"
Coulson,"Bobbi, anything?"
Morse,"Sir, we have evidence he's here at the hospital. It's a big place, though. He might be hiding anywhere."
Coulson,"Well, we know he needs nitrogen, and they use it in hospitals to power surgical equipment. Let's start there."
Vin-Tak,You do not want to fight me.
Morse,We just have some questions for you.
Coulson,Simmons is tending to Bobbi. She's gonna be okay.
Skye,"The guy was blue, like “he just tested some Willy Wonka gum” blue, and he needed nitrogen for whatever device turned his skin pink. Do you think he's a Kree?"
Coulson,You told me last year the Kree had not visited our realm.
Lady Sif,"If a Kree came to your world unannounced now, I would assume he's up to no good."
Coulson,"He attacked Bobbi and Skye, so that's a yes."
Skye,Yeah. The guy throws a mean punch.
Coulson,Let's assume you were here to stop him. We still don't know his objective.
Lady Sif,"No, but knowing he is Kree helps. Kava, for example. I thought it was a name. It is a Kree word."
Coulson,You also learn other species' entire languages as a child?
Lady Sif,“Kava” means “keys.”
Coulson,Keys?
Lady Sif,A device used to unlock...
Coulson,"Yeah, I know keys. It's something. Let's look into it."
Lady Sif,Skye... thank you for engaging my enemy. You are quite brave.
Skye,"The whole room was shaking, Fitz. The gun in my hand exploded."
Fitz,"Oh, god."
Skye,I-I thought that I could handle it. But I can't. It's too much. I-I think we have to tell Coulson what's happening.
Fitz,Hang on. Wait. Just wait until I've or... analyzed...
Skye,I can't control it when I get upset or nervous.
Fitz,"I'm running that diagnostic on your blood samples right now. Hopefully, when it's done, we'll have a solution. There's nothing you..."
Hunter,Sorry to interrupt... whatever this is. Just wanted to check out the new toys from sci-tech. Okay.
Skye,I'm... gonna... scour the web for “key” references.
Hunter,"Yeah. Yeah, you do that."
Simmons,"You, Ms. Morse, will live."
Morse,That's a relief.
Simmons,I'll get you some antibiotic cream so we can keep you nice and uninfected. Thanks. Stay here.
Mack,Ah. There goes your modeling career.
Morse,"You should talk, pretty boy."
Mack,You talk to Hunter?
Morse,I did. He's thinking about sticking around.
Mack,I heard.
Morse,I think it's good. Things are good. Maybe... we should bring him on board.
Mack,"No chance. That ship has sailed. Besides the fact that you two have a pattern that repeats itself, you didn't tell him in the first place because you didn't want him to know that you'd been lying to him."
Morse,Trust has never been our strong suit. And... And we're building something real here.
Mack,"I know he thinks so. But how is he gonna feel if you tell him now? Well, you can't risk it. He'll react badly. And it could blow up in our face in a big way. You can't bring him in on this, Bobbi."
Morse,W-what am I supposed to do? I can't bring him...
Mack,I don't want him here in case he takes their side. He's a friend. I don't want him fighting against us.
Morse,He would never.
Mack,"Oh. He loves you, and he probably will always love you. But I still think he might be capable of killing you."
Morse,You're telling me to push him away.
Mack,"I'm saying it's the only way you'll ever have a chance to be together, to make it work someday. You remember what it felt like when our friends turned out to be Hydra."
Morse,We're not Hydra.
Mack,You remember how it felt. The best thing would be if he decided to leave... and he wasn't anywhere near here when we pull the trigger on this thing. And then... maybe there's a world where we're all friends in the end.
Coulson,"I'm saying I can't find any particular keys that would be hugely important, not literal keys, not metaphorical keys, not as in “to the city.” It doesn't mean that I..."
May,Wait. Look at this.
Coulson,“Chaves.” A city known for its sedimentary basins. I don't...
Skye,Let me guess. “Keys.”
Lady Sif,That's where the Kree was heading. That's where I was chasing him. That was my mission.
Coulson,"But Chaves, Portugal... we've seen that name before."
May,It was in Whitehall's SSR file.
Coulson,"The site of his dig back in 1945, where he first found the Obelisk. That's where we have to go."
Skye,"Director? I'd like to sit this one out, please."
Coulson,You all right?
Skye,"Yeah, just after my run-in with blue man group, I still feel a little banged-up, and I'm just worried I'm not gonna be much help out there, so..."
Coulson,Okay. Whenever you're ready.
May,"Is it really about being hurt, or is it about your nerves?"
Skye,"I promise, it's just about the guy making me see cartoon birdies all around my head. That's it."
Coulson,Have Simmons give you one more check while we're gone. Let's make sure there's nothing serious.
Skye,O-okay.
Coulson,Pull up the SSR file. I want to pinpoint exactly where this Kree guy's going.
Coulson,Stay right there. Put your hands up.
Vin-Tak,You will not stop me.
Hunter,Want to bet?
Vin-Tak,I am here to help.
Lady Sif,"Is that why you attacked me, Kree?"
Vin-Tak,You were the one who attacked. I had to take your memory to keep you from tracking me. How did you track me?
Lady Sif,"You do not ask the questions, Kree. You do not talk."
Coulson,Actually... we need him to talk.
Vin-Tak,"Look, I-I can prove that... that I'm not a threat and that I'm here to help. Bring me my truncheon."
Lady Sif,How very Kree. He needs a weapon to make a point.
Vin-Tak,My truncheon can restore her memory. Would that not be a-a gesture of my noble intentions?
Coulson,I'll consider it once we know that thing does what you say it does. Do you have a name?
Vin-Tak,Vin-tak. And I will earn your trust.
Hunter,Simmons left you with truncheon duty? Funny word... “truncheon.”
Morse,"She wanted to take more precautions before investigating it, but I figured, hell, there's certainly more to it than meets the eye."
Hunter,Been saying the same about you for years.
Morse,"Supposedly, the Kree used this to wipe Lady Sif's memory. There's a dial on the bottom, but none of our equipment can detect any electrical or spectrographic signals."
Hunter,Is that your fancy way of saying you don't know how to turn it on?
Morse,Or if it can.
Hunter,"Well, I know something else we could try turning on. Hey, careful with that. You don't want to erase my hard drive, do you?"
Morse,"Like I said, it doesn't seem to be working."
Hunter,"All right, then... well, maybe I can help you with it. The sooner we get it done, the sooner we..."
Morse,"How are you gonna help me? Can I just get a little space, please?"
Hunter,Ah. There she is.
Morse,I need time figuring this out.
Hunter,"Well, it seems like you already have."
Morse,Not at all. I just think that we... should slow things down a little bit.
Hunter,"Yeah, okay, I get it. Just a bit of fun, yeah? Though, usually, things get a little more heated before you turn frosty. Okay, sweetheart. Consider it slowed. Don't die out there, yeah?"
Mack,"Hey, Hunter."
Morse,It's possible that only he can operate it. We've seen other alien materials react to biology or DNA.
Mack,Don't remind me.
Skye,Or me.
Coulson,"We've all been there, done that. Fitz and Simmons will examine the case. If this guy's telling the truth, we might finally get the answers we've been searching for."
Lady Sif,"Tell us how the truncheon works, Kree."
Vin-Tak,The Kree has a name. And that only works when in my hand.
May,Hmm. That's convenient.
Vin-Tak,It has a-a dial on the bottom.
Lady Sif,Hey!
Vin-Tak,Oh. Sorry. The argument was going nowhere.
Coulson,You back with us?
Lady Sif,"Yes. My memories have returned. I am Lady Sif of Asgard, friend of the S.H.I.E.L.D."
Vin-Tak,"Ohh! Asgardian... well, that explains a lot."
Lady Sif,"It is true. We do not trust Kree. That is why I am here. When Heimdall saw that one landed on your world, Odin charged me with retrieving him."
Vin-Tak,So you came to pick a fight.
Lady Sif,We know enough about Kree history to be concerned.
Vin-Tak,"Well, then, if you know Kree history, perhaps you've heard the tale of Terrigenesis."
Lady Sif,"Of course. Ancient Kree descending on planets, altering the inhabitants to fight their war."
Vin-Tak,And Earth was one of them.
