character,line
Ward,"Yeah, only when I breathe. Two broken ribs."
Eric Koenig,"Okay, well, try not to move. It may affect the results."
Ward,I'll try my best.
Coulson,Marcus Daniels was an assistant at a physics lab where they were trying to harness the electrical power of something called Darkforce. And nothing bad ever happens when you work with something called “Darkforce.”
Fitz,"It's a form of cosmic radiation, pure negative energy. Unstable but powerful. You knew that already, didn't you?"
Coulson,"Daniels was exposed, ended up being able to absorb energy... all types."
Simmons,"Well, the human brain, the heart, run on electrical impulses."
Coulson,Exactly. He can kill with one touch.
Triplett,And I'm guessing he likes to. Do we need to put a bullet in him?
Coulson,"Unfortunately, it's not that simple. He can absorb the energy of most conventional weapons."
Simmons,He sounds unstoppable.
Coulson,"Like Fitz said, his power's unstable. Last time, we managed to capture him by overloading his system with pure light."
Fitz,Exposing him to more energy than he could absorb at once. I'm sure we could engineer some sort of delivery mechanism en route.
Coulson,"That's what I was hoping you were gonna say. You mind flying, being the specialist on mission?"
Triplett,"Sir, I'll be whatever you want me to be."
Coulson,That's what I was hoping you were gonna say.
Eric Koenig,What is the difference between an egg and a rock?
Ward,Egg's a food. Rock's a weapon.
Eric Koenig,Have you ever heard of project Insight?
Eric Koenig,Ever made contact with Alexander Pierce?
Eric Koenig,You wash up on a deserted island alone. Sitting on the sand is a box. What's in that box?
Ward,"It would depend on the island... Where it is, how big, what's the terrain? Is there fresh water?"
Eric Koenig,Just say the first thing that comes into your head.
Ward,A pistol.
Eric Koenig,S.H.I.E.L.D. no longer exists. The agency has been labeled a terrorist organization. So why are you here?
Ward,I'm an agent. It's my duty.
Eric Koenig,I need you to give that to me again.
Ward,It's my duty.
Eric Koenig,"I'm gonna ask you a follow-up. Agent Ward, are you associated with Hydra?"
Ward,Yes. We all are. They've infiltrated the highest levels of our orgazation.
Eric Koenig,Like you mean it. Are you Hydra?
Ward,I'm loyal to S.H.I.E.L.D... to Agent Coulson... and to my team.
Eric Koenig,Do you have another agenda here?
Garrett,"I'll give you 24 hours to get the password and get out. After that, well... cross off the team and bring the girl to me."
Eric Koenig,"Agent Ward, why are you really here?"
Ward,Skye. Came back for her. I want to spend time with her.
Eric Koenig,Skye? Cool.
Fitz,Hey. Ward.
Ward,Hey. Got my lanyard.
Fitz,Nice.
Ward,"So, are you guys taking off?"
Fitz,"Yeah, I wish you were coming instead of trip. He's insufferable, isn't he?"
Ward,Trip? Yeah. Think the guy's okay.
Fitz,I know. He's terrible. He's a horrible person.
Ward,You sure this is about him? Not about Simmons?
Fitz,What the hell does that mean?
Ward,"Everything is falling apart around us. We don't know how it'll end. If there's something you want to tell her, don't wait."
Fitz,Maybe Simmons should check you again for a head injury... ‘cause that's not the Ward that I know.
Ward,You know what? Do what you want. I don't care.
Fitz,Good to have you back.
May,I should be flying this mission.
Coulson,I made another call. Stay here. Get the fuel line repaired on the bus.
May,"I remember when you brought Daniels in. I know how personal this is for you, but..."
Coulson,We don't do personal... not anymore.
May,"Phil, the polygraph cleared me. I'm not hiding anything."
Coulson,"You mean you're not hiding anything else, unless you do know who was behind the Tahiti project."
May,I didn't ask. I was ordered not to. And you would have done the same thing. Our job is to follow orders.
Coulson,"It's also our job to determine right from wrong. Watching someone in agony, searching for the truth, not saying anything... that's wrong."
May,"Look, I was just trying..."
Coulson,"And don't tell me it's because you care so damn much. Fury's no longer around telling you what to do, so why are you here? You want some orders to follow? Follow mine, or find somewhere else to be."
Simmons,How can you be sure he's going to Portland?
Coulson,Daniels was obsessed with a woman there. He called her his only light in the darkness.
Simmons,That's almost romantic! Almost.
Fitz,The man's been locked up in the Fridge for years. He must be over her by now.
Coulson,"Some people are hard to get over. Besides, Daniels is pathologically insane, single-minded, obsessive. His powers not only robbed him of a normal life, they also pretty much fried his brain."
Fitz,What about the woman?
Coulson,"Audrey Nathan. She's how we tracked him the first time. We find Ms. Nathan, we find Daniels."
Simmons,Audrey Nathan!
Nathan,W-what?! There... there... there's a man after me!
Simmons,"No, we know. We're with the CIA. Get in!"
Coulson,"Mr. Daniels, we don't want to hurt you. We need to take you in, for your safety and the safety of others."
Daniels,It was you! You took me there! They did things to me there!
Coulson,They were trying to contain you.
Daniels,No! They were trying to make me stronger. And they did.
Coulson,Here's where we'd normally call for reinforcements.
Fitz,Where'd he go?
Skye,"Here's something... Police report out of Morocco, attempted murder. The victim says the guy appeared out of nowhere, disappeared into thin air."
Eric Koenig,"Yeah, you just described every mugging ever."
Eric Koenig,Aren't you clever?
Skye,Aren't you sneaky? Using these to keep watch on all of us.
Eric Koenig,What?
Skye,"We have been killing ourselves trying to guess where these guys went. But what if we could see it, get visuals on where the prisoners went after leaving the Fridge?"
Eric Koenig,"That's a good idea, but, uh, right now S.H.I.E.L.D. sat surveillance is dark."
Skye,Ours aren't the only ones up there.
Eric Koenig,"Well, the only other satellites in the vicinity that could have... The NSA. You want to hack the NSA? That's a bad idea, Skye. That's a terrible idea. The NSA's already got S.H.I.E.L.D. on its watch list. Why poke the bear... the big, scary, waterboarding bear?"
Skye,"Ohh! I thought you were a comms agent, not agent of playing video games while hiding in a bunker."
Eric Koenig,You can't goad me into...
Skye,"Can you help me convince Steve Rogers here to suit up, grab his shield, head into battle?"
Ward,Okay? Who's he supposed to battle?
Skye,"If we hack NSA satellites, we can get footage from the Fridge breakout, see who was there, where they went."
Ward,"Well, she's right. It's worth trying. You know, I can't hack the NSA, but maybe I can upload the hard drive you gave me, get the specs on the weapons they might be carrying."
Skye,Absolutely. We should. But we can't. The encryption is location-based. We'll have to take a field trip at some point to decrypt it.
Eric Koenig,Okay! All right. Color me impressed. Now impress me more. Get me that footage. These are the keys to the comm/sat room. The mainframe is in there. Start the hack but then send the feed to these monitors. Let's live dangerously.
Skye,Yeah!
Ward,How long before you get visuals?
Skye,Uh... NSA satellites should be tough. Give me an hour.
Ward,Great.
Eric Koenig,This is exciting. Let's see if being sneaky pays off.
Simmons,We should be safe here.
Nathan,I thought he was locked up.
Simmons,He escaped from prison.
Triplett,You don't have to worry. That's why we're here. We're gonna keep you safe.
Nathan,“We?” Meaning the CIA?
Simmons,"Of course. That's what I said, isn't it? We're the CIA, the Central Intelligence Agency... people."
Nathan,"You're not. You're S.H.I.E.L.D., aren't you?"
Triplett,We're just trying to help. We're not the bad guys.
Nathan,"I know. I don't believe what they're saying about S.H.I.E.L.D. The agency saved my life once before. A few years ago, I saw Daniels at one of my concerts, front row. Then I started seeing him at all of them. At first, I was flattered. Cellists don't get many groupies. But then one night, I saw him outside of my house. I was terrified. I begged him to leave me alone. He just stood there, saying I was his light. I didn't understand what he meant until he started blacking out my entire block. I ran and called the police. They didn't believe me. But then a S.H.I.E.L.D. agent came to my door. I don't know why, but I trusted him right away. Something about his face... the handsome part, maybe. He just swooped in. It was like... out of a movie."
Simmons,You two were... close?
Nathan,Very. He promised me he would stop Daniels. And that's exactly what he did. That's why I know I can trust S.H.I.E.L.D. Phil never lied to me.
Simmons,Phil?
Nathan,Agent Phillip Coulson?
Triplett,I've heard the name.
Fitz,Is that... Audrey was... you two were...
Coulson,Yeah.
Fitz,Okay.
Simmons,What happened to him?
Nathan,"He died in the line of duty. I don't know the details. We were planning a trip up the coast, and then I got the call."
Simmons,You must miss him.
Nathan,"For so long after he died, everything reminded me of him. I still dream about him sometimes, just us together, laughing. I wake up feeling like he's watching over me. It's nice."
Fitz,Maybe you should go in there.
Coulson,"No, she's healing. She's getting on with her life. We should help her do that."
Fitz,"I think I know a way, how to stop Daniels for good. But we would have to use her to draw him either."
Coulson,No. Do you understand? That's not acceptable.
Fitz,"Well, it's not ideal, but there's no other choice."
Coulson,I won't put her in danger again. That's not fair to her.
Fitz,"But, sir, I'm sorry, but she's already in danger. And you said it yourself... Daniels is single-minded. He's dangerous. He won't stop until he gets what he wants."
Ward,How's it coming? Is the bus operational?
May,"Still banged up, but she's ready to fly. The fuel line's been repaired, and the tank's full."
Ward,What's the range on this thing?
May,"Just under 10,000 miles."
Ward,Are you leaving?
May,Yeah. I was here for Coulson. But he can't see past me lying to him.
Ward,"I get why you did it. When you get orders, you don't question ‘em. You follow 'em... no matter the price."
May,"Yeah, well, this price was too high. I lost him. Coulson doesn't want me here. He doesn't need me."
Ward,"So, what should I tell him?"
May,Whatever you want. He won't hear it.
Ward,How's it going?
Eric Koenig,"Oh! Hey. Believe it or not, Skye got us in! We have access to the NSA's complete sat-feed history! That girl's good. I can see why you like her. Uh, the images are a little patchy, but they're gonna clear up any second. Uh, I guess living on the edge really pays off sometimes."
Ward,Yeah. Sometimes.
Nathan,What if he doesn't show?
Triplett,"Before they put him away, he never missed a rehearsal, right?"
Triplett,"Then he won't this time, either."
Simmons,Don't worry. We'll be close.
Triplett,All you need to do is keep playing until Daniels gets close to the stage. We'll do the rest.
Nathan,"Last time, there were two whole teams of S.H.I.E.L.D. agents."
Simmons,See up there? Our best agents are watching. I promise. They won't let anything happen to you.
Fitz,"I pulled these from the jet's power reserves. Simmons made me wear gloves. She's so uptight, that one. Sir."
Coulson,Good. Can they stop him?
