character,line
Skye,"Yes, sir. I'll spread the word."
May,"You don't want Skye anywhere near that city, do you?"
Coulson,"It's not the city I'm afraid of. It's her lunatic father. Keep an eye on her, okay?"
May,Of course. I'm her S.O.
Morse,Quinjet's prepped. You almost ready?
Simmons,"Yeah, I was looking for the dwarf case."
Morse,"Well, ask Fitz. I'm sure he'll know."
Simmons,Ah. No. That's all right. I'm sure it's around here somewhere.
Morse,So... how long were you two a thing?
Simmons,"A thing? Fitz and I? No. I mean, we never... I-I never dreamed..."
Morse,"Okay. I'm just gonna stop you right there. If this were an interrogation, you'd have given me about nine visual cues to put you away. Maybe 10. Look, I... I know the story... of what Ward did to you two... how Fitz's brain was damaged. That's not your issue, is it?"
Morse,"So, what happened?"
Simmons,"We were in the bottom of the ocean in a storage pod, left for dead, and Fitz... he said something that caught me completely off guard."
Morse,"Ah, those three little words."
Simmons,"Yes. Well, no. I mean, not exactly. I barely had a moment to process what he was saying or how I felt about it. Next thing I know, he's giving me the oxygen, water's rushing in, and... he's... he's laying there, in the hospital bed. He was so pale."
Morse,How long was Fitz in the coma?
Simmons,"Nine of the longest days of my life. And when it finally broke, he... he couldn't speak, he... he just stared at me, confused. All I wanted to do was help him. All I wanted was my best friend back."
Morse,Your best friend.
Simmons,"I never thought of him as anything else. That said, I can't imagine my life without him. It's all very confusing."
Morse,"You've never told him any of this, have you?"
Simmons,"Oh, lord, no."
Morse,"Yeah, it's tough. I wish I could give you some advice, but I've never been friends with a guy first. It's always been a roller coaster. Fast out of the gate, hit the drop, the turn, the loop, the screeching halt, then... back in line to do it all over again."
Simmons,But is the ride worth it?
Morse,"I'll let you know when it's over. You know... at the very least, you should be honest with him. If you don't have trust..."
Morse,"Don't die out there, okay?"
Hunter,It's Canada.
Coulson,You two okay?
Fitz,"Yeah, absolutely."
Simmons,"Ready when you are, sir."
Coulson,Good. Head on up.
Fitz,Yep.
Coulson,All right. Time to go. I'll see you in San Juan.
Skye,See you there... sir.
Mack,So... you and Hunter... again.
Morse,I know.
Mack,Mm. Been through it enough times.
Morse,I know.
Mack,"Gluttons for punishment, I'd say."
Morse,"Let's not go down this road, okay? You're a big brother, but you're not my big brother."
Mack,"Your personal life, that's your business. I'm just wondering if it means you're bringing Hunter in on the other thing."
Morse,That? No.
Mack,"Well, I figured after we lost Hartley, you'd try to..."
Morse,"No, he has no idea. And I'd like it to stay that way."
Mack,Copy that.
Hunter,"Excuse me, mate. Somebody call an ambulance! This guy just passed out!"
Sam Koenig,That's impressive.
Hunter,"Thanks, Billy."
Sam Koenig,"No, I'm Sam. Billy's the shorter one."
May,Two more down.
Billy Koenig,That's not Sam's knock.
Raina,You two have a knock?
Billy Koenig,"Yeah, we're brothers. Of course we have a knock. Lanyard, please."
Computer,Agent Skye.
Skye,"Come on, Sam. You can't just look through the damn peep hole?"
Billy Koenig,I'm Billy. Sam's the shorter one.
Skye,"Okay. Right. Well, we need to move. Come on. Go for the stairs!"
Billy Koenig,"Stairs, copy!"
Skye,"Stand down, Agent 33! We can help you! Unh!"
Hunter,There's more coming. We need to... What the hell is that?
Skye,"May's evil twin, formerly known as Agent 33."
Hunter,I thought the Koenigs were creepy.
Skye,Tell Coulson we're on our way.
Hunter,"Yes, ma'am."
Morse,"No tails on the way in. None that I could spot, anyway."
