character,line
Simmons,Not just the hacker world. He infiltrated the Kremlin.
Fitz,"Yeah, the picture of, uh, Putin shirtless on horseback... that was his hack."
Ward,It was also his hack that got Chan kidnapped.
Coulson,"May, set a course for Austin."
May,Just did.
Skye,What about Chan?
Coulson,"Kwan's got a S.H.I.E.L.D. team on the ground. Our best bet is to chase this thing from the other end. Find Mr. Lydon, bring him in. See what he knows."
Skye,Just left the café where Miles logged in. Cashier says she hasn't seen him in over a week.
Ward,I may have eyes on him.
Ward,I've been made. Heading East on 5th street. Target is now in a silver Jetta.
Coulson,I got him.
Miles,"All right, suit. You asked for it. Gridlock protocol."
Coulson,I lost him.
Skye,You sure they're not following you?
Miles,"Yeah. Had to pull out all the stops, though. Thanks for the text. Wait, are you mad?"
Skye,Are you kidding me? I don't have much time. Who did you leak those files to?
Miles,"Wait a second. What? “Good to see you, too, Miles.” I released them into the world, where they belong."
Skye,They'll keep hunting you unless they have someone else to look for. And why the hell would you hack S.H.I.E.L.D.?
Miles,Because that's what we do.
Skye,"Not when I'm on the inside. You could have ruined everything, you dumbass."
Miles,Seems like you handled it.
Skye,I've come too far for you to... Why are looking at me like that?
Miles,Did you just call me “dumbass?”
Skye,Stop smiling. I'm serious.
Miles,"Because I taught you everything you know, so what does that make you?"
Skye,"No, you didn't."
Miles,I'm sorry. I can't help it. I've been missing you like crazy.
Miles,"That's where you keep that, huh?"
Skye,Better safe than busted.
Miles,Making any progress on that?
Skye,"I'm digging, but your little stunt is gonna make it harder. Where's my top?"
Miles,"You know, I could be helping you. If you send me ciphertext, I could be working on algorithms"
Skye,"No, I can't contact you. I never should have. There's a S.H.I.E.L.D. team looking for you right now... my team. And if they suspect something, I'm screwed."
Miles,There's a joke here that I'm resisting that involves the word “screwed.”
Skye,"Shut up. There's a guy in trouble because of you, and I got to get back. So if you want to help me, help me find my clothes."
Miles,"Hey. I'm sorry, Skye. Really, I am, if I messed anything up."
Skye,"I've missed you. Me, too. But we talked about this when I left for L.A. I've got a chance here. So S.H.I.E.L.D.'s off-limits, okay?"
Miles,"Okay. At least tell me what it's like. Come on, the belly of the beast."
Skye,Surprisingly... unbeastly. I've got good people I'm working with.
Miles,"Some good stories, though, I hope?"
Skye,Miles. You have no idea. But that's classified.
Miles,"You did not just say that to me! Come on, you got to tell me something."
Skye,Someday.
Miles,"Well, if they ever let you go on leave or whatever, let me know, and I'll get us a suite at the... fancy hotel that has suites, and you can regale me with stories while naked."
Skye,A suite? You? That's funny. But they're never gonna let me go on anything if I don't find my stupid... top.
May,Get. Dressed.
Skye,I know how this looks...
Coulson,How long have you two been in contact?
Skye,I contacted him once the day I joined to tell him I was okay and once earlier today.
Coulson,When you tipped off an active suspect?
Skye,"No, it's not like that. Miles and I... we met when we were both a little screwed up. Scratch that... he was a little screwed up, I was a lot. But we looked after one another. That's why I warned him, not because we're working together on this, but because we're... friends. I'm really sorry."
Coulson,"Noted. If not you, then who is Mr. Lydon working with?"
Skye,"No one. He's an idealist, believes in freedom of information."
Coulson,"That information cost a man his freedom, and you sabotaged our attempts to remedy that."
Skye,"No, I came here to find out what Miles knows about Chan."
Coulson,And?
Skye,Nothing. Miles is a dead end. He's harmless.
Coulson,We'll see.
Skye,"Really, I was gonna find out everything I could to try to help. I just... I felt like I couldn't tell you guys everything."
Coulson,I know. That's why I asked May to follow you. Seems like that wasn't a dead end.
Fitz,Why would Skye do this to us for him? I thought she was our friend.
Simmons,"I think she is, Fitz. But he's just obviously more than that."
Fitz,"Yeah, but we've been through so much together, and she didn't even tell us that she has a guy."
Simmons,"Well, who knows what they've been through together?"
May,The classified information you stole from us... who did you give it to?
Miles,It's information. It has a life of its own.
May,What happened to Mr. Chan?
Miles,"I don't know who that is, so why don't you tell me? So, are you guys just gonna destroy all my stuff?"
May,Yes.
Coulson,Anything?
Miles,I don't have to talk to you.
Coulson,Take him in. Gather all the evidence and secure the prisoners. We got what we were looking for here. We're going to Hong Kong.
Skye,"I'm so sorry, Ward. This is not what it looks like."
Ward,Hands. Now get up.
Simmons,"Uh, you missed a button."
Chan,"What is this big place, Raina? And who are these guys?"
Raina,"They'll assist you with anything you need. We're here to monitor your vitals while we observe your powers. And it's big because we'll need the space. This serum strengthens the cytoskeleton within each cell of your body. One dose, and you'll feel incredible... until it wears off."
Chan,And it will wear off?
Raina,"Yes. But the effects in average subjects have been impressive. In you, I'm excited to see."
Chan,What do you think of the name “Scorch?”
Raina,Breathe. Feel it? Now let's see what you can do.
Chan,"Whoa. Oh, sorry! You almost got scorched. This is incredible. Whoo! You are a beautiful angel, you know that?"
Raina,Your power is an amazing gift.
Chan,"And S.H.I.E.L.D. wouldn't let me use it. But thanks to you, the whole world can finally see what I can do. From now on, nobody holds me back."
Miles,"So, I guess due process isn't really S.H.I.E.L.D. protocol."
Skye,They don't have time for it.
Miles,"Whoa, are you defending them? These people are denying our basic rights."
Skye,This isn't about us. They're trying to save someone's life.
Miles,"Listen to yourself. That's what they always say to justify invading privacy, Skye. These people stand for everything we despise... secrets, censorship..."
Skye,"Enough with the manifesto, Miles."
Miles,"We can't let them get away with it! Manning, Snowden, Aaron Swartz... these are modern-day revolutionaries."
Skye,This has nothing to do with that. You leaked...
Ward,Guy's hiding behind platitudes. He's dirty. I can feel it.
Simmons,"Scrubbed clean, actually... nothing much on him. He's got no family records. His apartment's under an alias. And he plays a lot of Minecraft, where he runs a rather nasty mob."
Fitz,Is it... is it zombie?
Simmons,Zombie pigmen.
Ward,Keep looking.
Coulson,Go ahead. Say it.
May,I don't do petty.
Coulson,"But you called it. I trusted my gut, even though you said she was a risk."
May,"When someone breaks into my house, I usually don't invite them to stay, but that's me."
Coulson,"That was me, too. Then that alien staff went through my heart."
May,Sure it didn't go through the brain?
Coulson,"You really don't do comforting, either, do you?"
May,What is your gut telling you now?
Coulson,That she's still hiding something.
Simmons,"Sir, we found some evidence."
Ward,"She's been defending you, saying you're a stand-up guy. So I'm going to give you a chance. Do you want to tell her, or should I?"
Miles,I don't have to listen to you...
Ward,"There goes your chance. Your boyfriend here made a few deposits in the days following the leak. All said, it's about a million dollars."
Skye,What?
Ward,Real stand-up guy.
Miles,I can explain...
Skye,Did you sell information? Miles? Yes or no? Did you?!
Miles,"Yes, but..."
Skye,Ohh! You are so dead. What the hell were you thinking?!
Miles,It was a million dollars. A million dollars. It would change my life... our lives. And that woman was harmless. I looked into it.
Skye,No one with good intentions pays that kind of money for information! Did you ever think about that?!
Miles,Of course I did. I would never have done it if I thought...
Ward,Who is the woman you referred to?
Miles,"A fan of the Rising Tide, some rich girl in a flower dress. She knew all about me, said I had a gift. She thought people like us deserved more."
Skye,"Oh, you deserve more."
Miles,She pointed me to a Chinese S.H.I.E.L.D. feed... wanted me to crack it.
Ward,You thought that was harmless?
Skye,"I checked the data stream. It didn't seem like anything you and I hadn't already put out there, Skye. And I traced the account where the money came from to make sure it wasn't some evil corporation. It was just an eco-research lab. Otherwise, I would never..."
Ward,Ecological research?
Miles,"Yeah, insects, some study with centipedes. What's more harmless than that?"
Raina,It appears the volatility in the serum has been neutralized.
Debbie,I'm surprised you got him to cooperate.
Raina,He has dreams. I told him they'd come true.
Debbie,"You gave him a name, didn't you?"
Raina,Everyone wants to be remembered.
Raina,You were right. The platelets in his blood prevent the extremis in the serum from combusting.
Debbie,"That's fantastic. The others will be pleased. Good work, Raina. Now drain him. She walks out."
Coulson,It appears Centipede is responsible for Mr. Chan's kidnapping.
Ward,"First L.A., now Hong Kong. What kind of organization are we dealing with?"
Coulson,"International, well-financed, interested in creating a super soldier. Let's hope finding Mr. Chan will provide some answers. Using the account information Mr. Lydon gave us, S.H.I.E.L.D. H.Q. believes he's being held here."
May,Any ideas what Centipede wants with Chan?
Fitz,"Hard to say, but Simmons thinks that considering he's pyrokinetic..."
Simmons,There's a good chance his genetics could stabilize the extremis element of the Centipede serum.
Fitz,Keep their test subjects from going...
Simmons,Boom!
Coulson,"If Mr. Chan is Centipede's lab rat, we need to get there before the experiment's over."
