character,line
May,Insightful. Thank you.
Deke,You can probably guess what this means.
Daisy,That you have one less thing in development?
May,"Snow, without that repeller, how long can this trailer hold them off?"
Snowflake,I don't know. We never stick around long enough to find out.
Fitz,"This is all I can think to do, so if this doesn't work..."
Simmons,Then I suppose we'll find a “higher purpose.”
Fitz,Ever the optimist.
Simmons,Funny what a year of space travel does to you.
Fitz,"In that year, did anybody change the distress code?"
Simmons,Thankfully not.
Izel,How much longer?
Fitz,Yep. One moment.
Simmons,This is S.H.I.E.L.D. 226. Does anyone copy? This is S.H.I.E.L.D. 226. Does anyone copy?
Davis,"We copy, we copy. Do you read me?"
Simmons,"Yes, this is Agents Fitz and Simmons with S.H.I.E.L.D. 226."
Davis,"It's good to hear your voice, Simmons."
Simmons,"Davis, is that you?"
Davis,"Affirmative. This is Agent Davis, also with S.H.I.E.L.D. 226."
Simmons,"Davis, I think you've confused your call signs."
Davis,"No, I'm pretty sure I'm 226, just like you."
Simmons,Copy that. Loud and clear.
Davis,"Uh... Simmons, are you, by any chance, on that spacecraft that just entered the upper atmosphere?"
Simmons,"Yes, we are, and in fact, it seems our landing site was compromised."
Sarge,"Whoever the hell is talking, I know someone else is listening."
Simmons,Coulson?
Sarge,"I got a message. I killed your Shrike, I destroyed your tower, and I'm coming for you next, Izel."
Izel,"Ah. So you finally remember my name. Come for me, and I'll help you remember yours."
Fitz,You said he was dead. Can't be him.
Simmons,Then why does it sound exactly like Coulson?
Izel,Seems you're still not sure what to call yourself.
Sarge,I never put much stock in names. I prefer actions.
Izel,And yours are lacking.
Sarge,"Last I checked, I took down your crew. Almost got you, too."
Izel,All you had to do was destroy the entire planet in the process.
Sarge,"You'd already infected Chronyca by the time I got there. I severed the limb, stopped the spread."
Izel,"Oh! A hero. What is it you always said? People fantasize about doing something heroic, but in the end, they save their own skin. Whose skin are you saving now? Just the one you're wearing, I hope."
Sarge,Come see me and find out.
Izel,"I will. It's time for you to come to your senses or to a close. I don't want to destroy you, but if I must..."
Sarge,That's funny. I can't wait to kill you.
Izel,Are you sure?
Sarge,Dead certain.
Izel,Tell me... why is that?
Sarge,"Because you robbed me of my family, the woman I love, my home. And then you took the one thing I had left... my memories of them."
Izel,"It's not that I stole your memories, Sarge. It's that you never had any to begin with."
Sarge,Get me to that ship. Now.
Izel,You recognized his voice. You know him. You've been conspiring against me all along?
Fitz,"No, no. No conspiring, okay? Honestly, we're the opposite. We're anti-conspiratorial. We knew someone who sounds just like him. But he's dead."
Simmons,"Please. Izel, there must be some explanation."
Izel,It's simple. You're telling lies!
Fitz,"Okay, all right. Okay. Just wait a moment."
Izel,Saving your own skin.
Simmons,Now where do we go?
Fitz,"I've got an idea, but you're not gonna love it. Come on."
Daisy,I don't think this truck can last much longer.
May,What about the cloaking?
Snowflake,"It won't work. Cloaking hides us from you, not them."
Deke,Looks like we might die together after all.
Snowflake,Did you say “we?”
Deke,"I mean, I also said... “die”."
May,"All right, everyone, grab a blade! Don't let anything near the bomb."
Snowflake,Don't worry. Tinker designed the windows to withstand any type of...
May,This close to shutting you up.
Daisy,Barricade the windows. Come on.
Jaco,Nice trick. Easy. I'm trying to save your planet.
Elena,By slaughtering innocent people?
Jaco,We all make sacrifices.
Elena,"So you're okay with the killing, Jaco? How's that strategy working out for you? Save a lot of planets lately?"
Jaco,Sarge is doing the best he can. But he's been at this a while. He wasn't always a killer.
Elena,And you were a baker. The runt. Is this what your family would've wanted?
Jaco,They'd want me to stop the beast that took them away from me.
Elena,"Now, that would be a nice trick."
Sarge,Faster!
Davis,We're at top speed.
Sarge,"Then drop some weight... the crew, if you need to. Just get me to that damn ship!"
Mack,"Well, guess that woman really did get to you. Sounded like a war of words... that she won."
Sarge,Shut the hell up. Maybe we should drop some weight. Maybe we start with you.
Mack,"Well, I'm just trying to help. It's been a rough day for your master plan."
Sarge,Keep talking.
Mack,"What? Your bomb didn't blow, your boy Jaco's still gone, and, you know, I just can't shake the feeling that, by the end of the day, I'm getting my plane back."
Sarge,You're not gonna make it till the end of the...
Davis,Director!
Mack,Fly the plane!
Mack,Stand down!
Sarge,Not a chance.
Mack,I said stand down.
Sarge,Jaco.
Jaco,"It's over, Sarge."
Mack,Told ya.
Mack,"All right, this is an extraction. Get in, get out. You see the beast, do not engage under any circumstances."
Elena,We're really going in without those blades?
Mack,Yeah.
Elena,What happens if we see a bird zombie?
Mack,Shoot it.
Elena,And when it gets back up?
Mack,Shoot it again.
Davis,Quinjet's still prepped for launch.
Sarge,You'll never make it off that ship alive.
Mack,We won't leave our people behind. I know how radical that must sound to you.
Sarge,"Take me with you. I've spent years tracking Izel, studying her every move... all for a chance like this. I have to do this. You don't understand what you're up against."
Elena,You're right. And that's why we're bringing Jaco along. But thanks anyways.
Mack,Let's move!
May,Snow!
Daisy,They're gonna break through!
May,They're coming in from every angle!
Daisy,Fall back. Protect the bomb.
May,What are you doing?
Daisy,I'm letting them in.
May,Here.
Deke,"Daisy, what are you doing?! Maybe one at time we can handle, but this..."
May,It's a choke point!
Daisy,Hold your positions.
Snowflake,Are all the females on your planet this powerful?
May,They are.
Fitz,You smell nice.
Davis,I'll take point. Me and the ship go way back.
Mack,You got it.
Elena,What happened to the crew?
Davis,"Oh, I'm sure they're just fine."
Jaco,That's her.
Mack,"Hey, remember, S.H.I.E.L.D. is a “Capture, Not Kill” outfit. Until we verify the condition of the crew, proceed with caution."
Mack,What did I just say? Oh. N-Never mind. G-Good call. Good call.
Jaco,I'll hold them off. Go get your friends.
Mack,"Davis, back him up!"
Fitz,That sounds like S.H.I.E.L.D.
Simmons,I've never been so happy to hear live ammunition.
Mack,"Turbo. Oh, it's so good to see you!"
Fitz,"Okay! Hi, sir. Okay. That's a bit tight, that is."
Elena,Mack. Mack.
Mack,"Yeah, yeah, yeah. We should go. Come on. Let's go."
Fitz,Yeah.
Davis,Jaco. You heard the orders. We are not to pursue under any circumstances.
Jaco,We can end this.
Davis,All right. You take the stairs. I'll flank around back.
Jaco,Where is she?
Davis,Not here.
Elena,How many of the crew members have turned into those zombie things?
Fitz,All of them.
Elena,That's not a number.
Jaco,We almost had her. We need to go back.
Mack,We got what we came for. We're outmanned and outgunned. We get out now.
Elena,"Jaco, live to fight another day. They've taken the Quinjet. There's too many of them."
Simmons,Please tell me you have another way out of here.
Jaco,I might.
Mack,"All right, go. Go!"
Mack,And now what?
Simmons,I like you.
Jaco,It's because I'm likable.
Deke,Is it more Shrike?
Daisy,I don't think so.
Deke,Bobo!
Fitz,What's happening?
Deke,"Oh! I'm so happy to see you! Oh, my... I can't believe it's you!"
Fitz,"Who are you, exactly?"
May,How did you guys get here?
Mack,The big guy.
Jaco,Tell Sarge I completed the mission.
Elena,"You don't have to do that for him, Jaco."
Jaco,I'm doing this for me.
Snowflake,"Jaco, no."
Jaco,Don't worry. I'll be a butterfly.
Daisy,There's a lot of new faces here.
