character,line
Simmons,That's what AIDA changed for Fitz. Can you still access HYDRA personnel files?
Simmons,You're going to help me fix this.
Skye,Okay. So Radcliffe's coordinates should put it right about here. Do you think you can fly us there?
Triplett,No problem.
Skye,Great.
Triplett,"But what's with this team of yours? A Hydra agent, a-a schoolteacher, a dad? Looks pretty Bad News Bears to me."
Skye,"Trust me, I think they're up to the task."
Triplett,Does this have anything to do with that other world Simmons was talking about?
Skye,She told you?
Triplett,What can I say? I'm easy to confide in.
Skye,"Okay. Yeah, you, May, Mack and Coulson were all part of our team in the other world."
Triplett,"So that's why you were so happy to see me. You and I, we must've, uh, you know..."
Skye,Dated?
Triplett,Sure. We'll go with that.
Skye,"Uh, no. Sorry."
Triplett,"Right. Me and Simmons, we probably..."
Skye,Nope.
Triplett,Agent May? Damn. And this is really a place you want to go back to?
Skye,"Easy, playboy. Right now, we have to round up Simmons and the rest of the team."
Triplett,Doubt she's back yet.
Skye,What are you talking about?
Triplett,I thought you knew. Simmons left base an hour ago.
Skye,Where was she going?
Alistair,"Now hold on, miss. Let's be reasonable about this."
Simmons,"Don't you tell me to be reasonable, not after what you've done to Fitz."
Alistair,You mean Leopold?
Simmons,Yes.
Alistair,But I've been nothing but a good father.
Simmons,You've poisoned his mind.
Alistair,I did no such thing. I love that child. And I raised him to be the man that he is today.
Simmons,Fitz is better than that. He's a good man.
Alistair,"No, Leopold is a great man. And he's my only son. And everything I have in this world, he gave me."
Simmons,I can fix this. You just need to do what I say.
Alistair,What's this really all about?
Simmons,Fitz is in danger.
Alistair,Nonsense. He's the top man in HYDRA.
Simmons,"You don't understand. AIDA, Madame Hydra has put forces into motion no army can protect him from."
Alistair,Is this something to do with this machine that Leopold was working on?
Simmons,"It will kill everyone Fitz cares about. Call him, tell him to come here, alone."
Alistair,Why? So you can blow his brains out?
Simmons,I could never hurt him. I only want to talk. Now make the call.
Doctor,"Yes, Father?"
Alistair,"Listen to me very carefully, son. You know I've always loved you. Only ever wanted what was best for you."
Doctor,"Yeah, of course I do. What's wrong? Where's this coming from?"
Alistair,"Please, just do as I say, and everything will work itself out. The fugitive is here! Bring all your men!"
Simmons,You stupid man! You're going to get us all killed!
Alistair,The only one dying today is you.
Doctor,Dad? You still there?! Dad?!
Simmons,"Please, no!"
Doctor,"Dad?! Are you okay?! Dad, answer me! Dad! Dad!"
Coulson,Something's not right here. People are staring at us.
May,"No, they're staring at you. That's what happens when you go on TV calling for revolution. You're now the face of the Resistance."
Coulson,That's really not my style. I'm really more of a “work in the shadows” kind of guy.
May,Really? That's how teaching 10th grade works best from the shadows?
Coulson,I'll be honest with you 15-year-olds are no joke.
Skye,Do you know where Simmons went?
Coulson,"No, sorry."
May,She went to find Alistair Fitz.
Skye,What? Why didn't you come and tell me?
May,"Because I don't answer to you, not here or any other fantasy world you two might have cooked up."
Skye,You told her?
Coulson,It came up in conversation.
Skye,How does the existence of an alternate reality come up in in casual conversation?
Coulson,"I'd like to think it's because we were bonding, though I don't really want to speak for her."
Skye,You're really not helping.
Coulson,Don't worry. Melinda here said she'd keep an open mind.
Skye,We can't leave without Simmons.
May,She knows how to stay off-radar. I'm sure everything's fine.
Man,Clear! One down. Clear! Sir!
Man,Round up the men. Start canvassing the neighborhood.
Doctor,That won't be necessary.
Man,"Excuse me, sir?"
Doctor,"I'm sure the fugitive's gone by now, but it doesn't matter. We know where she's going. Get the men back on the Zephyr."
Man,Move out.
Doctor,You say this woman loves me.
