character,line
Coulson,I know. You'd think someone named Stoner would be a little more fun...
May,No. The woman. I felt nothing. Like you. She's a Chronicom.
Simmons,All the cloaking in the world won't help if we're smoking.
Deke,"The fire's out, okay? It's out."
Enoch,We have a more pressing issue.
Deke,What is that? What was that?! And... just guessing... how's it gonna kill us?
Enoch,"When the Drive jumps, it takes the Zephyr with it due to a network of cables that encompass the ship."
Simmons,It carries the current from the drive to the shielding around the Zephyr.
Enoch,"Without the shielding intact, only parts of the ship would jump away, and what remains would be pulverized like a Xandarian snail in a liquifactor."
Deke,Why do you sound so calm about that?!
Simmons,"And we could jump at any moment, so we need to fix this immediately."
Deke,"Okay, so what do we do now?"
Simmons,"The power regulator... take a look at it. You start there, and Enoch and I will rewire the control panel."
Deke,Consider it done.
Enoch,Are you okay?
Simmons,Shouldn't I know how to fix this? Wha... Wh... Why can't I remember how to fix it?
Enoch,"Don't worry, Jemma Simmons. It will be all right. But we must act now."
John,It's gonna be okay.
Lilla,"Aah! Oh, God, what now?"
Elena,It's okay. It's okay. We're here to get you out.
Lilla,Hey!
John,"Hey, hey."
Elena,"Whoa, whoa, whoa, whoa."
John,"Hey, what are you doing, man?"
Mack,"Oh, I'm sorry. I'm sorry, sir, ma'am. I just got carried away."
Lilla,Who are you?
Mack,"Um, this is Agent Rodriguez. Uh, she's my girlfriend."
Elena,"Oh, I don't think these strangers care about that, Director Mack... Lemore. Um, you can call me Elena, and please excuse my partner. He's just happy that you guys are safe."
John,"I'm John. She's Lilla. Uh, sorry. This whole day has been a nightmare."
Mack,"I'm sure it has. But if you do what we say and we keep moving, we will get you home."
Lilla,We were food shopping for a party. Men just came right up to us in the parking lot and took us. Why?
Mack,"Collateral. But I don't get it. We're nobody. You're not nobody. I just wish I had a better explanation. If everything goes right, we can bypass the people that took you."
Elena,"They're cowards. Whatever they wanted, our plane is nearby. You'll be safe soon."
John,"What exactly happens if we can't avoid them, sir?"
Mack,Then you find cover. And you... you don't have to call me “sir”. It's... It's just “Mack”.
King,We've unlocked an elevator to the basement. Something is definitely screwing with the mainframe.
Stoner,Just rip it out?
King,"We need your authority override to reboot the systems, sir."
Stoner,Yeah. Computers. My own face is aiding the damn enemy today. Turn it off.
King,"We'll remove your face ASAP, sir."
Stoner,"Don't get wise, Agent King."
May,"I'm telling you, she is a Chronicom. She had the same void of emotions that I get from you."
Coulson,But she showed emotion. She had a personality. She was the person Stoner knew. Chronicoms can't mimic that.
May,You can.
Coulson,"I'm not like them. I may not be what I used to be, but I'm not one of them."
May,But she was. So we need to warn them...
Coulson,And I don't appreciate this attitude from you.
May,I don't have attitude.
Coulson,That's my point.
May,Not having attitude is my attitude?
Coulson,"Yes. I don't know what's going on inside you, but you're smart. You're smart enough to know that this... it's not simple for me, and... and I would turn to you for..."
May,For what?
Coulson,I don't know. For...
May,For validation?
Coulson,"Maybe, Melinda. Something. I died, and I came back. Yeah. I didn't ask for that. But here we are. And, okay, you don't feel. But you won't even tell me what you think."
May,You want to know what I think?
Coulson,Yeah.
May,You never die. You always come back. You know how many times I've mourned you? I'm not doing it again. And I'm certainly not doing it for a decoy with a simulated personality!
Coulson,"Thank you! There she is! Don't look now, but your emotions are coming back. Unless you just picked that up from watching me. They're mimicking me. Adapting."
May,Are we done sharing now?
Coulson,"On the train. He said they adapt. They saw me and realized they could steal personalities. What if they're doing that? What if they have a method of taking our memories, our identities, and uploading them into Chronicom bodies? Replace the Agents, use them to take over."
May,Yeah. And General Stoner's next.
Ford,What the hell? No. Nooooo!
Stoner,Ford. What is so important?
Ford,"Sorry, sir. We needed your override authority to take back mainframe control."
Stoner,Whatever gets us up and running.
Mack,"All right, come on. This way."
Lilla,Another dead end?
John,We should go another way.
Mack,Our jet's on the other side of that door. We're exactly where we need to be.
John,This is not where I'm supposed to be today!
Mack,I picked the safest route possible. Trust me.
John,I'll trust you when my back's not up against a three-ton steel wall.
Mack,I'm trying. But he's trying me.
Elena,He doesn't know you.
Lilla,It's not about you. We've got two boys at home.
Mack,"Well, I can't solve that problem just yet. But I do know if I can't fix one thing..."
John,You fix another.
Mack,"Yeah. The thing is, the, uh... the locks on this blast door [GRUNTS] are a lot like the brake calipers on a car."
John,They clamp onto the door?
Mack,"We bust the locks, the door slides open. And we go home. Think you can help me with that?"
John,"Brute force won't work against the rotors, but... think we could find the hydraulics line and cut it?"
Mack,"Yeah. Yeah, that'd work."
Ford,Bring in another Hunter for the next conversion.
May,Never keep your back to a door.
Stoner,I believe you!
Coulson,"I'm sorry you had to learn about it this way, General."
Stoner,Agent Ford attacked me.
Coulson,This is a Chronicom replacement room. The table copies your mind to him.
May,Then they take your face.
Stoner,Those were friends. It's... them? They're dead? I'm sorry.
Coulson,This device is out of commission. They won't take anyone else.
Stoner,"They've still got my agents trapped down in this base. We need to get people out, regroup topside."
May,What about Mack? You know he came in for his parents. He'll be finding his way out with them.
Coulson,That's good. Link up with him.
Stoner,What are you doing?
Coulson,"This is the very bottom of the Lighthouse, right? They mentioned bringing more Chronicoms up. I'm gonna see where they're coming from."
Nathaniel,"Okay. Any more, and we'll kill the golden goose. Let her recover. Be careful! You're not bouncing some drunk from the bar."
Sousa,What did you do?
Nathaniel,"Took as much blood and spinal fluid as I thought she could handle. A couple glands. Now I got to synthesize it all and transfuse it to me. Now, I know, it's risky, but, uh... I want to try new things. If it doesn't work, we'll switch from needles to knives."
Sousa,Daisy?
Daisy,Jiaying. It happened... It happened before.
Sousa,"Hey, stay with me. What do you mean this happened before?"
Daisy,Jiaying. I ca... Jiaying.
Sousa,"Hey, hey, hey. You wanted to hear my story, right? Right, well, I think it was, uh, foggy. I can't really remember the hit, but I came to, and my leg was a pulpy mess... and I was completely alone. Okay. And then Mike Stephens showed up. And the thing about Mike is he was a resolute ass. He would never shut up. He was always bullying the new guys, stole cigs. But that day, he just kept talking to me... carried me back from the line. Hey. Hey. Wake up. Okay? Stay awake, okay? For the next couple hours, he stayed with me. When the Germans advanced, when the cold got so bad I thought we would freeze, he just kept telling me, “We are going home.” And then at some point, I was in a field stretcher, and, uh... Mike wasn't. So... consider my yapping as a way of passing on the favor. We are going home, Agent Johnson. You hear me? We're going home. But you have got to fight. Plenty of fight left in ya after all."
Deke,"What the hell? Nana, wake up. Something happened. Enoch's a traitor. Are you okay?"
Simmons,Deke? Deke... what have you done?
Coulson,Bad time?
Lilla,"Keep pushing, Huggies."
Elena,I call him Turtleman.
Lilla,'Cause he slowly won you over?
John,Slow and steady wins the race. Aah! Gah! Damn it! Sorry.
Mack,"Here, take this. Yo-Yo, stay here, keep working the door."
Lilla,Where are you going?
Mack,To make sure they don't come anywhere near you guys.
Coulson,Where am I?
Sibyl,In a virtual space. Advantage of a digital mind.
Coulson,"I mean, where's my body?"
Sibyl,"Surrounded by Hunters in our time ship. It appears underground, which is why you've had difficulty finding it."
Coulson,And who are you?
Sibyl,"Sibyl. They call me the Predictor, but I simply read the Time Streams."
Coulson,Are you saying you see the future?
Sibyl,"I see the past as written by a single future... a tree grown, but also the many trees it could've grown to be."
Coulson,A predictor and a poet. Sweet. Definitely not like any Chronicom I've met.
Sibyl,Nor are you.
Coulson,"Again, I'm not a... You know, people keep making that mistake today."
Sibyl,But you're not a person. What do you think you are?
Coulson,One of many pressing questions. But you seem to answer anything I ask.
Sibyl,I see no reason not to.
Coulson,Then this should be interesting.
Deke,Enoch had you unconscious and was implanting something in your brain. All of my actions were completely on the up.
Simmons,"Yeah, and completely misguided. Forget what you saw. Enoch is a friend."
Deke,"No, no, what I just saw was Creepytown, USA, population... the... the two of you. No, no. I want answers... real ones."
Simmons,He was fixing my memory so we can fix the ship.
Deke,Wait a second. Do you... Do you not know how to fix the time machine that you are currently ripping apart?
Simmons,"You cannot imagine how impossible it was to track the Chronicoms through time. But Fitz and I found a place where all their moves could be observed. And to guide us, Fitz stayed there. He is completely exposed, and they will kill him if they find him, so no one can know his location."
Deke,But you knew.
Simmons,"Yes. I designed a biological implant to suppress my memories. I named her Diana. She's adorable, and we're inseparable. Literally. Ohh. You need to replace the capacitors."
Deke,But then you won't remember how to find Fitz again.
Simmons,"I'm worried I might. Diana is acting up, and I'm... I'm forgetting the things I'm supposed to know, and more dangerously, I'm remembering the things I'm not."
Deke,We'll fix the implant.
Simmons,"Don't worry. We're far more likely to blow a hole through space-time, then Diana won't matter, anyway. Duct tape?"
Sousa,"Hey, buddy, she's not doing good. You need to get some help. Leave me alone. Help her. No?"
Man,Aah!
Sousa,Okay. I got you. Come on. Here we go. Is that you?
Nathaniel,My bones... are cracking.
Coulson,Where's Daisy?
Sibyl,Abducted by Nathaniel Malick. He wants to take her power.
Coulson,What are the chances he'll succeed?
Sibyl,22%.
Coulson,Will Daisy survive?
Sibyl,86%.
Coulson,That's my girl. And what do you want from Mack's parents?
Sibyl,Mack.
Coulson,To get to us? So you can have Earth?
Sibyl,You know the answer to that one.
Coulson,And why do you want it?
Sibyl,To ensure the survival of my species.
Coulson,See? Me too. We should talk more. So much in common.
Sibyl,Neither one of us is actually speaking.
Coulson,"And a great sense of humor, too. So, why you and not us?"
Sibyl,Clarify.
Coulson,What's the difference between a Chronicom and a human?
Sibyl,Time. Humans have a limited amount of it and therefore fear death. They act irrationally to prevent themselves or others from experiencing death. Chronicoms cannot die. Time has no consequence. You should ask yourself which category you fall into.
Coulson,"So, that's the difference that makes your species more valuable."
Sibyl,"Less fleeting. With a home planet intact, we will exist long after you're gone. Once you realize that, you'll give up. Or... you'll run out of..."
Coulson,"Time. Yeah, you said that. I would argue that you're wrong about three things, if you don't mind."
Sibyl,Please.
Coulson,"First... the difference is sacrifice. Yeah, time is limited... which means sacrifice comes at a real cost... not just data. Heart and pain and blood and sweat and tears... all the good human stuff. And we will never give up."
Sibyl,You said I was wrong about three things. What's the third?
Coulson,"Me. You see, I haven't feared death for a long time."
Sibyl,Is that so?
Coulson,"Yeah. The fact is, dying... it's kind of my super power."
Chronicom,Someone's in the Hive. Get down there immediately.
Coulson,"May, if you're out there, I found the ship. I just hope you're right about this next part."
Mack,Looks like my team just disrupted your lockdown.
Luke,It doesn't matter.
Stoner,This is not how I planned on spending Lady Liberty's 200th.
Elena,What happened?
May,Coulson lifted the lockdown.
Elena,"Okay, we'll head for the Quinjet."
Mack,How bad's your arm?
John,Nothing getting home won't fix.
May,Thank you for believing us.
Stoner,Thank you for saving my skin. That is literal. I'd like to buy you a beverage of your choice if that is a welcome gesture.
May,H.R. rules frown on it.
Stoner,"As a saboteur, you don't technically report to me, Melinda."
May,"I'm Level 7. Technically, you'd report to me. But your job's just beginning. Clear out the base, create a cover story. Perhaps a “Hydrogen Wave Crisis”."
Stoner,"Yes, ma'am."
May,"Thank you, General."
Stoner,This would make one hell of a report.
Mack,Where's Coulson?
May,He's gone.
Elena,Was he in that explosion? Is he dead?
May,He'll come back. Always does.
Deke,"Um, yeah, E-Enoch, I'm sorry... about before. I-I didn't realize that things were so dire."
Simmons,And...?
Deke,And... you are a valued member of our family.
Enoch,That is the greatest compliment one could be paid. Apology accepted.
Deke,"Okay, so, what do you remember? Do you know where Fitz is?"
Simmons,"No. No one can know. And no one can know about me. I mean it, Deke. Even you knowing puts you at great risk. Can you carry this secret?"
John,"63,000 pounds of thrust?"
Mack,Mm-hmm. Per turbine. This baby will scream straight up into the sky.
Lilla,"And he said, “Not like that, Mama”."
Elena,She's telling me about her sons. Her oldest sounds very serious.
Mack,"You know what I find loosens kids up? Now, just... just hear me out. Um... ATV's."
John,"I-I don't know if anyone's said this yet, but... thank you for saving us."
May,You're welcome.
