character,line
Fitz,Jemma. Jemma!
Simmons,Stop this!
Daisy,"Hurt Fitz one more time, and I will tear this ship apart."
Atarah,"I've heard reports of what Quake can do, which is why Leopold Fitz is being held on another ship. If any harm comes to me, those ships will scatter across the galaxy. Behave... or you will never find him."
Sarge,"So, how'd he die? The guy said you wouldn't leave Coulson's side, but the way you're always staring at me... Did you kill him?"
Sarge,"Oh. It's the other thing. Okay. Okay, now we're getting somewhere. And he died. So sad. So this... this must really be messing with your head."
May,"I didn't kill him, but I am going to kill you, and I'm gonna make sure it hurts."
Sarge,"Mm-hmm. So, this imposter... what was he? Synth? Shape-shifter?"
May,He was a person. What are you?
Sarge,"Not buying it. Out of the whole galaxy, he just happened to be on a planet that I ended up on? Try again. What was he?"
May,Decent. Everything you're not.
Sarge,"Well, you know what they say... every dream is someone else's nightmare."
May,"Look. You're the imposter. And if you don't know that, then you're worse off than I thought. I know where Coulson was born, who his parents were, seen pictures of him as a kid. I know how he lived and died. Everything. So, the question you should be asking is who the hell are you?"
Snowflake,Sarge.
Sarge,Talk to me.
Snowflake,Bagged and gagged. Basement level.
Sarge,Nicely done.
Sarge,We're gonna have to finish our little chat later.
Coulson,Will you stop laughing? It sounds weird.
May,"It's just... Did you, uh, read that in a book, ‘cause that's such a cheesy way to ask a girl out for a date."
Coulson,"Like I said, I planned to say it, but as you know, I never did."
May,You chickened out.
Coulson,You were very intimidating back then.
May,You were too nerdy for me back then.
Coulson,"Oh, really?"
Coulson,"Yes, ma'am."
May,Too much wine?
Coulson,"No, it's the other thing."
May,What is this?
Sarge,Initiation. You're gonna kill him.
May,Like hell I am.
Snowflake,You're gonna do great.
Sarge,"When the screaming starts, you want to stab this up under his ribcage."
May,No one's gonna hurt you. I'm gonna...
Sarge,Best of luck.
Sarge,I knew you'd come around.
Snowflake,"Can we keep her, Sarge?"
Sarge,Welcome aboard.
May,What was that thing?
Mack,Where are we with Keller?
Benson,"Nowhere. I'm examining the substance that grew out of him, but I never got certified for parasitic alien birds, so who the hell knows."
Mack,"Yeah, it's a first for us, too."
Benson,"Well, here's hoping it's the last. I-I-I need a night off."
Mack,"This job is stressful. You can cope however you like, as long as it's done responsibly."
Benson,"Oh, dear Lord. Is this “the talk”? Take a look under that sheet. Stone-cold sober or blackout drunk, there was no stopping that."
Mack,"I don't doubt it, but there have been some concerns."
Benson,Agent Rodriguez.
Mack,People need to know you have their backs and we have you at your best.
Benson,"My best was 20 years ago. But Rodriguez was right about one thing... this knife stopped whatever that creature was. It took a while, but it's finally dead. Now, if you don't mind, I got work to do."
Enoch,You have made a grave mistake. Leopold Fitz is not our enemy. You need to release him.
Atarah,Incorrect. You need to help. They have the answers we need. He is our leverage.
Enoch,Fitz... has been a most loyal companion. He and I have had many adventures together.
Atarah,"I am trying to save our entire race, and you are concerned about the welfare of one human. Why?"
Enoch,Because we have recently become best friends.
Atarah,It seems Earth has made you soft.
Enoch,I do not disagree that I have changed... but I believe it is for the better. One must change to grow.
Atarah,I hardly recognize you anymore. The Enoch I invited into my charging pod was reckless... but not a traitor.
Enoch,I cannot believe I ever granted you access to my data port.
Atarah,"The fate of the Chronicoms is at stake here. You refuse to assist me, then I will proceed my way."
Enoch,Your way?
Atarah,"If you will not answer my questions, I have no further use for your friend. Malachi, dispose of the criminal on my command."
Simmons,"No, wait!"
Enoch,Bring him back.
Simmons,Daisy.
Daisy,Stop this now.
Atarah,Then give me what I want.
Simmons,"There was a machine that controlled a time monolith, but it was in the future, and it's been destroyed. That's all we know."
Atarah,Who built this machine?
Daisy,We have no idea.
Atarah,Convenient.
Daisy,It's true! The machine was there when we arrived. It was built on old designs.
Atarah,"If so, that is most unfortunate."
Atarah,Perhaps I have no further use for any of you.
Simmons,"Enoch, help us stop this."
Enoch,"I have not seen this future myself, but there is only one logical conclusion. If anyone can solve the mysteries of time travel, it is Leopold Fitz."
Atarah,This is true?
Simmons,"It's possible. Likely, even, but he hasn't done it yet, and the chances of him re-creating it are next to zero."
Atarah,Explain.
Simmons,"If he did this, he'd have his whole life to figure it out and the end of the world as motivation."
Atarah,"You claim he is your best friend, but we are the last of our kind. You have knowledge that could aid us. What would motivate him to do what we need?"
Enoch,"Her. Put Jemma Simmons in danger, and Fitz can solve anything."
Daisy,What the hell?
Simmons,Enoch!
Atarah,Let him live... and her. Kill the others.
Simmons,"They need Fitz alive, which means they won't kill him."
Daisy,And I can kick her ass. Let's go.
Benson,Here to spy on me again?
Elena,"I rescued you, in case you forgot. I killed Keller to save your life."
Benson,"Well, if you hadn't, we would likely have lost the Lighthouse."
Elena,I've made hard choices before. Being right doesn't stop it from feeling wrong.
Benson,"I know what you mean. Two years back, I got a call. Car crash."
Elena,Your husband?
Benson,"Brain-dead, machines breathing for him... Tom didn't want that. His family fought me on it, but after a few days, I had them turn off the ventilator. They never will forgive me. It's the hardest choice I've ever made, but I took comfort in knowing it was the right one. And so should you."
Elena,"So, the knife did kill it."
Benson,"The blade generated a chemical reaction, paralyzing the creature, and after six hours, it took on an inert, hardened state and expired. Under a microscope, the creature now has a makeup similar to those spikes... a strange, crystalline structure. Obviously, I have never seen anything like it."
Elena,We have.
Sarge,"They come from another world. They're called the Shrike. Primal, simple beings. They jump to a new world and infect a host. If the host gets taken out, they go berserk in search of a new one."
May,You did that just to make a point. It could've killed me.
Sarge,"I figured you could handle yourself. Besides, you kind of have to see it to believe it."
May,"When it couldn't get to me, it started screaming, changing."
Sarge,"Supercharging, turning the host's energy into pure destruction. Left unchecked... Well, it's a good thing you came to your senses."
May,You're not creating these things. You're trying to stop them.
Sarge,"We follow them to a new world, then track anything that doesn't belong there and kill it."
May,That's why you came after Deke.
