character,line
Sharpe,"And by “terrible”, do you mean America's continued dominance and unparalleled excellence?"
Elena,That arrogance is putting lives at risk.
Sharpe,"Oh, is that so, Mamacita? Ooh. Caliente. Good thing your boy's here to keep you in line."
Mack,Did he just call me boy?
Sharpe,"Allow me to introduce myself. Gerald Sharpe. Department of Defense. Ex-military. I didn't just teach interrogation and resistance, I wrote the field manual. So... do your worst."
Simmons,"Getting to the bottom of this may be difficult. If the Chronicoms have infiltrated, they would all look and act exactly like this."
Coulson,"Okay, but now you're just trafficking in stereotypes."
Simmons,"Well, I mean, perhaps. But until a more diverse population goes into STEM fields, I'm afraid... any one of them could easily be mistaken for a Chronicom."
Coulson,"True, but we don't have to test if they're Chronicoms. We just have to test if they're human. All we have to do is trigger an emotional response."
Simmons,"How many fingers am I holding up? Nope, you're wrong..."
Simmons,It was two fingers. Thank you.
Coulson,"John Wayne. Bit overrated, don't you think? I mean, you're rugged, you're on a horse... who cares?"
Simmons,She couldn't stay with Rick. She had to go with Victor. Haven't you ever made a sacrifice for someone you love?
Coulson,How does it make you feel when I say the word “moist”? Moist.
Coulson,Moist.
Simmons,"Yeah, you're good."
Simmons,The bus?
Coulson,"Yes, of course. I'll go clear the new arrivals, who could be anybody from anywhere."
Simmons,Next.
Sousa,The science team arrive?
Sousa,I may need a moment with a contact.
Sousa,He is?
Sousa,You catch her name?
Sousa,You could say that.
Deke,Things got messy with you and Mack.
Daisy,This is all messy.
Deke,"Yeah, well, maybe next time you feel you have to make a “tough call”, don't put it on me to commit a murder."
Daisy,"An agent has to take orders, and it isn't always fun."
Deke,"Yeah, from my commander. Not from you."
Daisy,"I outrank you, and if you want to get technical..."
Deke,"Daisy, he was a kid."
Daisy,"I don't expect you to understand, but Wilfred Malick isn't some innocent kid. He's... He's, like... He... He's like the grand wizard of Hydra."
Deke,Grand wizard sounds cool.
Daisy,"It's not. It's bad. Hydra is very bad. And right now, in this time, every government and corporate entity in the country is being infiltrated by them, and it all ends in horror. One death, one death could have saved countless lives..."
Deke,A death that I'd be responsible for.
Daisy,And now we're responsible for more. You didn't used to shy away from this.
Deke,"I don't... That's not fair. I'm not... Look, I'm not the guy that you met in the Lighthouse. Not anymore. And I don't want to be."
Daisy,I know.
Daisy,Daniel Sousa.
Deke,Who's that?
Daisy,He's Peggy Carter's old partner.
Simmons,[German] The uncertainty principle!
Sousa,Agent Carter?
Simmons,In the flesh.
Sousa,Well. Glad to finally put a face to the name.
Sousa,"I gotta say, I've waited a long time to meet the famous Agent Carter."
Sousa,"But I'm surprised to find you here, running a security op in our little patch of desert."
Simmons,"I apologize for the short notice, but we had to act quickly. I believe this base may have been infiltrated."
Sousa,"No. Imagine that. An infiltrator, right under our noses."
Simmons,"And you arrived just this morning, Agent...?"
Sousa,Call me Daniel.
Simmons,Daniel. And where exactly did you materialize from?
Sousa,I just flew in from L.A.
Simmons,"Oh, you work at the old SSR office."
Sousa,I'm in charge of it.
Simmons,"Daniel, your surname wouldn't happen to be Sousa?"
Sousa,It would.
Simmons,Which would make you the former colleague of Agent Peggy Carter.
Sousa,It would.
Simmons,I suppose you'll be arresting me now.
Sousa,"You got it all figured out, don't you?"
Coulson,"Yeah, you say you like Ike. We all like him. But do you love him."
Coulson,"Okay. You, think fast. Jimmy Stewart or Gary Cooper?"
Coulson,"Seriously? You can go. Okay, Miss, just go with me on this. I've always wanted to try it. You're walking in the desert, and you see a turtle. You pick it up and flip it over on its back. And now that sucker's roasting in the sun, that poor, innocent turtle. Just trying to turn itself over. But it can't, not without your help. But you're not helping. Why?"
Old lady,Why would you even think I would do such a thing?
Coulson,"Oh. Oh, no... I didn't mean..."
Old lady,"What kind of a sick, sick man are you?"
Coulson,"Oh, no, no, no. It's okay. You passed."
Sousa,"Arrest that man, whoever he is."
Coulson,Arrest? Agent Sousa. Wow. Big fan.
Mack,What are the chances?
Deke,"At least backup's on the way. I'm running facial recognition to match these people with their archival ID photos. It's slow going, but..."
Mack,Who are they?
Deke,"Mostly S.H.I.E.L.D., high-ranking, couple guys from the Air Force, a Congressman, and a guy from something called the Pentagon."
Mack,"Yeah, I know these names. These were some of S.H.I.E.L.D.'s earliest power players. How'd it go?"
May,He called me “an Oriental”.
Elena,I had to pull her away.
Mack,So we got nothing?
Elena,Sorry.
May,I could take another run at him. Just saying.
Mack,"No, no, no. Violence is not an option."
May,If you say so.
Elena,"So, now what?"
Deke,What?
Mack,You could go talk to him.
Elena,Couldn't hurt.
May,Might even work.
Deke,"Look, I-I know I got a way with words. Some might even call it the gift of gab."
May,Nobody ever said that.
Elena,"Yeah, no."
Deke,That's just... Why me? I have zero S.H.I.E.L.D. training. What makes you think he's gonna give me the time of day?
Mack,Don't make us say it.
Deke,Wait. It's not because of... this? Okay. Okay. Stupid white privilege.
Sousa,"Keep those two in holding, and get me everything...visitor logs, timecards, anyone on patrol."
Sousa,"Lieutenant, I want to know how these jokers got onto the most secure S.H.I.E.L.D. base in the western United States. Who the hell are you?"
Daisy,Who I am is on a need to know basis.
Sousa,I need to know.
Daisy,"Ah, no, you don't. Because I don't exist and we never met. Now, can you shut the door, please?"
Sousa,"Not to be rude, but it's been one of those days, so produce some credentials or I'm gonna put you in handcuffs."
Daisy,"Here. I should inform you that's not my real name. My initials are “C”, “I”, and “A”. Catch my drift?"
Sousa,"Subtle, but yeah, I get it. I'm also gonna call your bosses in Foggy Bottom and confirm it."
Daisy,"Oh, please do. I'm sure they would love to learn how two moles walked into this base on your watch. Let me guess. They rolled in with flawless ID cards, made a beeline for the scientists... for some routine questioning?"
Sousa,How'd you know that?
Daisy,"CIA. We know all. Even about you, Mr. Sousa. How you were a scout for the 28th infantry till you took shrapnel at Bastogne, worked at Isodyne Energy, took down Hugh Jones and the Council of Nine. And those are just the investigations that I am cleared to talk about."
Sousa,Why are you really here? Is this about the report I sent you guys?
Daisy,I can neither confirm nor deny that.
Sousa,"Well, I hope so. Because if S.H.I.E.L.D. has been infiltrated with sleepers post-World War II, we need to root it out right now, before it takes hold."
Daisy,"Look, all I can say is that you are not crazy. And the people that you have locked up might be the key to proving it."
Sousa,Then come with me.
Deke,"You, my friend, just lost me a bet. See, I thought you'd crack. Didn't realize who we were dealing with. Pardon the theatrics. Can't be too careful when you're testing your own."
Sharpe,It was a test.
Deke,And you passed. Flying colors.
Sharpe,"Well, it's nice to finally meet the man in charge."
Deke,"Gosh, you just go right to that, huh? And so, man to man, Helius, is it secure? ‘Cause if there were any weaknesses, it'd be key if we could collab on that."
Sharpe,"Oh, sure. But in order for that to happen, I would have to be a moron!"
Deke,"No, just wait... Wait, wait, wait, wait. We were interfacing so well."
Sharpe,"Tell your pinko friends to go screw! And as for Helius, that hunk-o-junk's about as functional as a paperweight. Nothing on Earth is powerful enough to get it up to velocity. So take it, Stalinite."
Deke,It doesn't work.
Sharpe,"That's right, Ivan. Yeah. Yeah, run back to the Urals!"
Mack,"So, Helius is controlled from the lab, but kept a safe distance away from the buildings."
Deke,I got something
Elena,Of course you did.
Deke,Helius is a dud. It doesn't work. He said there's nothing on Earth powerful enough to get it up to velocity.
Elena,"That's a good thing, right?"
Deke,"No, but he's wrong, because there is now... a Chronicom. Remember when Original-Enoch fueled up the monolith machine and went all supernova and I didn't know if I was gonna die and it... It was very scary."
Mack,"Wait, so you think Helius could be powered up the same way?"
Deke,"A Chronicom that's willing to die plus an Ion Fusion Reactor will equal a bomb with a blast radius for miles. If that thing goes off, it could take out..."
Mack,"The entire brain trust of S.H.I.E.L.D. We need to call in the Cavalry. Well, that's what we call May."
Deke,But isn't she still an unfeeling killbot?
Elena,That's exactly what we're facing. Might be exactly what we need.
Man,Ma'am.
Elena,"So, after everything we've seen, no one blinks twice at a woman pilot?"
May,"Women pilots in the ‘40s and '50s out-flew the men. They had to, since we were towing the targets for target practice."
Elena,"Whoa. Impressive, but still..."
May,Sexist? Yeah.
Elena,"So, I know you're eager to be in the field. But these are civilian scientists, so..."
May,Go easy. Got it.
Elena,"If they don't react to this, they're the target."
Sousa,I should have known something was fishy when everyone was saying how nice this Sharpe guy was. I always heard he was a jerk of the highest order.
Daisy,That's not inaccurate.
Sousa,And the lady pretending to be Carter? Worst fake accent you've ever heard.
Daisy,You should tell her that.
Sousa,"Uh, stand back. They may get jumpy. Here they are. Hope it was worth the drive. Let's go."
Daisy,I'm gonna need some time with them. Alone.
Sousa,"With all due respect to your department, not a chance. Look, either do this with me or not at all."
Man,Attention. Attention. Mandatory evacuation procedures...
Coulson,"Sorry, really."
Sousa,Let me out of here right now!
Coulson,I'm a fan!
Simmons,He really is!
Daisy,"We're the good guys, I swear!"
Man,Get out! Get out!
Elena,Let's go. Come on. Go! It's okay. Get out. Move! Move! Move! Hey! You!
Man,Help! Help!
Elena,It's okay. We'll get you help. Go.
May,"Go! Come on, come on. You!"
Woman,What's happening?
Elena,You! That way! May! That's the Chronicom! May! May! Hey.
May,I can't... I can't breathe...
Elena,It's okay.
May,I can't... I can't breathe.
Elena,Calm down! Calm down!
May,I gotta get... I gotta get out.
Elena,"Put your mask on, May. I'll get you out."
May,Okay. I got to get...
Elena,Are you okay?
May,I don't know...
Elena,What happened?
May,I don't know! I've never felt that. That's never happened before.
Elena,"May, calm down. Calm down. It's okay. May, whatever it is, you can tell me."
May,Does it look like I want to talk about it?
Elena,"Okay, well, let's go. Maybe we can catch her."
May,"And what the hell happened to you, huh? How come you weren't able to catch her when she was running away?"
Elena,Do I look like I want to talk about it? Come on.
Mack,Helius is powering up. They need to evacuate.
Deke,It might be too late for that.
Mack,Maybe we can power it down remotely.
Sharpe,What the hell is this?
Mack,Easy. Just... take it easy.
Sharpe,No. What kind of commies are you?
Mack,I can explain. I'd just rather not.
Man,Move! Move! Come on! Come on! Keep going! Keep going! All the way out! Let's go!
Simmons,Dr. Vega!
Simmons,Can we stop it?
Daisy,"Okay, the visitors. Where are they?"
Coulson,"All right, listen. We have a little time, but you need to evacuate them now. Get them on the bus and drive away. Do you understand? Go."
Simmons,But there is no time.
Coulson,He doesn't know that.
Daisy,Hey. How'd it go? Did you find the Chronicom?
May,Working on it.
Daisy,If that thing blows...
Simmons,We won't let it.
May,He's gone.
Elena,Maybe we can buy them some time.
Simmons,"They designed this EMP all wrong, but if I can get it working..."
Coulson,We can blackout Helius?
Simmons,"Yeah, hope so. I need a wire stripper and a soldering iron."
Daisy,"I can't hack this thing, it's ancient, and it's hardwired."
Simmons,"Well, then help me. If we can amplify this, it's... Sir, no, you can't be in here."
Daisy,"Sir, they're evacuating. You need to leave."
Simmons,Daisy!
Daisy,Two Chronicoms. Good to know.
Daisy,He's alarmingly strong.
Simmons,"Yeah, I keep forgetting."
Sousa,"Get off him! Both of you, stop!"
Simmons,Connected? Here we go.
May,You all right?
Elena,That's what they do when you win... they self-destruct.
Sousa,Damn it.
