character,line
Abby,"And then after, I get to go off-planet, travel the galaxy as an ambassador. It's a dream. It's why I have to learn."
Simmons,I might be able to help. Can you describe what it is you can do?
Abby,"Yeah, well, um... sometimes I'm so light, my hand can just pass right through things. And then, sometimes, I'm as solid as lead."
Simmons,You can control your molecular density.
Abby,"Yeah, but I can't control it. Everything in me, it just... it tenses up, and it hurts. Sometimes the only way I can get it to stop is if Tye turns on my blocker."
Simmons,That thing inhibits your powers?
Abby,It helps me. They help me. I'm just not worthy of it.
Simmons,"Abby. You are worthy. I've known many Inhumans, and every one of them took time to master their abilities."
Abby,"I've had time. And if I can't perform at the ceremony, Tye says that my family will be punished. So I don't... I don't even care what happens to me. I need to do this for them. Please."
Simmons,I'll help you.
May,Mack keeping him distracted down there?
Coulson,Zev's enjoying giving him a hard time. I think this might be our last shot. Say what you will about our future dystopian horror show. It has a nice view.
May,Dazzling.
Coulson,How's the leg?
May,I'm not gonna lie.
May,You think we're gonna find something out there? Maybe a way back?
Coulson,I don't know. Maybe there is no way back.
May,That doesn't sound like you.
Coulson,Just managing expectations.
May,You're being fatalistic.
Coulson,"Look, you know I'm not big on destiny, but maybe our destiny's here. In this time, helping these people."
May,"It's not like I don't want to help. I do. But after that, I'm going home. I spent weeks in the Framework, strapped to a board, thinking I was HYDRA. I've earned a night in my own bed."
Grill,Mmm. Mm. New people. Hmm. What? New girl!
Elena,I'm going as fast as I can.
Grill,Get over here. Your Metric's on the fritz. Arm out.
Grill,There. That oughta do it. No more dilly-dallying.
Tess,"Zev's so busy teaching your friend a lesson, he hasn't noticed we're off course yet. We should hurry."
Coulson,My God. It's a miracle anybody survived at all.
Tess,"I forgot I had this thing. Virgil would always do this. Said he liked seeing what Earth will look like when it's fixed. Wouldn't fly without it. Uh, one time, he delayed us an hour so he could go back to his bunk and get it. Superstitious, I guess."
Coulson,Or... not.
Tess,It's the lost knob.
Coulson,Virgil was talking to someone. Aah.
Zev,Busted. I'm gonna enjoy this.
May,You got everyone secured to the wall?
Zev,That's right.
May,Good.
Coulson,Thank you.
Mack,"I had to. You were all pinned to the wall, flailing around like a bunch of hungry, hungry hippos."
Coulson,"Huh. In my mind, it was cooler than that."
Tess,"Oh, this is bad. This is beyond bad. What did we just do?"
May,We did what we had to.
Tess,"No, you don't understand. We just attacked a superior. We're dead."
Simmons,Let's try again.
Abby,It's not gonna work.
Simmons,"Come on. You can do this, Abby."
Abby,I didn't mean to do that.
Simmons,"No, but that was impressive. You're powerful."
Abby,"Well, not if I can't do it when I actually want to."
Simmons,"But you can. It's mind over matter. Or in your case, the literal matter that makes up your body. Think of this place. You see a table, this pitcher, and outside, the stars, millions of them. All of that, every part in the universe is made of the same thing. Protons, neutrons, electrons. And you know what's between those tiny particles? Space. Infinite space."
Abby,Okay.
Simmons,"Your body is like a field of stars, but you're special. You can control the space between the stars."
Abby,The space between the stars.
Simmons,Imagine it. Close your eyes and imagine it. Now try again.
Abby,I've never been able to hold it steady like this before.
Simmons,That's good. Just remember this feeling.
Abby,I lost it. I...
Simmons,It's okay. Takes months to master a talent.
Kasius,"Or perhaps much less time. Abby, with me."
Simmons,"What... What... No, wait. We're... We need more time."
Kasius,Let's all hope not. I look forward to your performance.
Simmons,"You'll do great, Abby. Even just a..."
Kasius,Silence.
Kasius,"Did you set our little healer up to fail because I think she's pretty? Or did you really think she'd succeed? You want to see me happy. Then tell me, what does Jemma have that makes her so different, makes her capable to succeed in this?"
Sinara,Compassion.
Kasius,Hmm.
Deke,Do I need to ask what the hell you're doing with that?
Daisy,"So now you're tailing me? Shot in the dark, you won't get it."
Deke,"Oh, 'cause you're too noble for me to understand?"
Daisy,"Where I come from, we protect each other."
Deke,You are storming the castle. Any plan how you're gonna do that alive? That's what I thought.
Daisy,"This is what I do. My friend's life is on the line, so I'll figure something out."
Deke,"Oh, just all in, totally blind, huh? It's a stupid way to play, even if you have a good hand. You should be playing the long game."
Daisy,The long game?
Deke,"Yes. I can make it so that you could waltz down there with an invitation from the big man, but that takes serious time. It takes finesse."
Daisy,"Or it takes the Scroll that I have now. So thank you for your endless advice, Deke."
Deke,You are about to walk into a buzzsaw.
Daisy,You're just worried it's gonna blow back on you.
Deke,"This has nothing to do with me! If you pick a fight with the Blues, they are gonna take it out on all of us. Today's Renewal was for three people. Tomorrow could be for 30. Death comes easy here."
Daisy,"Which is why I need to get to Simmons now. So if I were you, I'd get out of my way."
Deke,You already destroyed the world once. I am not gonna let you do it again. Whoa. So there she is. Quake. the destroyer of worlds.
Daisy,Don't ever call me that again.
Tess,"We're screwed. I told you, it's a dead rock. We just risked our lives for nothing. How is he?"
Mack,"Oh, he's out cold. For now."
Tess,"If we know what's good for us, maybe he stays that way."
Mack,What are you getting at?
Tess,"I'm saying we seal the hatch, and we dump the load. Zev didn't make it out in time. It was an accident."
Mack,That's murder.
Tess,That's math. A life spent is a life earned. That's how it works.
Mack,I got that when you took out a guy with a shotgun.
Tess,I was saving her life!
Mack,What the...
May,Is that a voice?
Coulson,It's a transmission.
Mack,"It's a faint signal, but the source is right in front of us."
Tess,That's impossible. How is anything coming from a lifeless rock?
Mack,I don't know. It could be reflecting.
May,"Yeah, I think you're right. It's only bouncing off of 616. But the, uh, signal's origins... It's coming from the surface of the Earth."
Woman,May I present the Lady Basha.
Kasius,Your Excellency. I pray your journey was not too difficult.
Basha,"Kasius. Well, you have carved out a little life for yourself on this rock, haven't you?"
Kasius,"Quite literally. From the deposit of limestones under the surface, the crushed skeletons of marine creatures dead a billion years. And you've been well?"
Basha,"We fared well, considering the remote location."
Kasius,"Well, we've been eagerly awaiting your arrival."
Simmons,What's happening?
Tye,Now we'll see the fruits of her labor.
Kasius,"Basha, my dear, I do hope you enjoy tonight's exhibition."
Simmons,"No, you can't..."
Basha,You promised me a warrior.
Kasius,"You'll find, with Inhumans, looks can be deceiving."
Basha,I hope so. I've come a long way.
Kasius,"And you do me a great honor, bringing along your champion."
Basha,"He's hardly my champion, but he has killed 13 opponents in 7 systems."
Abby,Aah!
Basha,This is the best you have to offer?
Kasius,Let's all hope she can find her way. So many lives we prize depend upon her success.
Basha,Disappointing.
Simmons,Just think of the stars.
Man,Aah!
Kasius,It may be our warrior has found her way.
Abby,Please.
Basha,Extraordinary.
Zev,You're dead! I'm gonna feed you to the roaches! You hear me?!
May,Can't find the mute button.
Coulson,"Hello? Is anyone out there? Do you read? Nothing. I'm recording the transmission, but I still can't make it out."
Tess,Zev's right you know. We're roach food.
Zev,You're gonna regret this.
Mack,We'll figure it out. We always do.
Tess,"You don't get it! The moment we lied about this mission, someone was gonna die. It's him or us."
Mack,We're not dumping the load.
Tess,I've got to while we have the chance. You gonna get in my way? Sacrifice your lives for that piece of trash?
Mack,"We're not sacrificing anyone, you understand? As S.H.I.E.L.D., we live by a code, and we're not bending to your twisted world view."
May,"We're losing fuel, fast! We had six more hours worth."
Tess,Zev cut the fuel line.
Coulson,"May, can you get us back to the Lighthouse?"
May,"Yeah, I can try. You have enough of that transmission recorded?"
Coulson,It's gonna have to be enough.
May,Because we need to turn and burn and pray that we don't hit a gravity storm.
Coulson,Do it.
Tess,There goes our chance. Hope it was worth it.
Basha,The Terrans were such an unremarkable species. You have done well with their world.
Kasius,"Well, if I can't find opportunity, I make my own."
Basha,"Well, you would have to on a grim little rock like this."
Basha,As we agreed.
Simmons,"No, Abby, you can't!"
Kasius,"Now, Sinara, let's not be rash. Jemma demonstrated her worth."
Simmons,You sold her.
Kasius,"And if not for you, she wouldn't have fetched such a high price."
Kree,Got a few more. Move it!
Daisy,I really thought this would work.
Daisy,"This has been fun, but I've got someplace to be. So not as stealth as I hoped. Awesome."
Grill,"Are you kidding me? You have got to be the dumbest bunch of lugs I have ever seen. Zev catches you smuggling contraband, and then you mutiny?"
Coulson,Mutiny? That's a strong wor...
Grill,Picking up where Virgil left off? I knew someone was stealing. Squirreling things away.
Mack,"Yeah, like you know what a squirrel is."
Grill,"Shut it, agitator! I am gonna kill the lot of you, good and slow! But I'm starting with you."
Tess,It wasn't them. It was me. Just me.
Coulson,Tess.
Tess,"Grill, these people didn't even know Virgil. So any gripe you had with him is with me now. Same with any contraband."
Elena,You want contraband? He has a gun.
Grill,A gun?
Elena,"Zev threatened me with it. Probably threatened them, too. If you're looking for contraband, he's got it."
Zev,"No way, boss."
Elena,"Search him. If I'm wrong, I know the consequences."
Zev,"No way. No, no, no, no. No way."
Grill,You stole this. From someone.
Zev,No. Wait. Wait.
Grill,Humans aren't allowed to have firearms.
Coulson,"We wanted to tell you the truth, but he's your guy, and..."
Tess,We didn't want the Blues to come down on you.
Grill,That's why I'm reporting this violator to them myself.
Zev,"Grill, no."
Grill,You know what their punishment is for this. Let that be a lesson. No one is above the rules!
Kasius,"You were right. It's a rare occasion that I am surprised, but count this among them."
Deke,"I told you she'd find her way down here. And demonstrating her powers, no less. That right there is a weapon of mass destruction, tied up in one pretty, little package, all for you. We can talk about price later, but I expect that you'll be more than fair."
Kasius,"So, this is Quake, Destroyer of Worlds. How is it possible that she's here?"
Deke,"The important thing is, she's yours."
Daisy,I'll kill you. I swear.
Deke,"Sorry, sweetheart. I'm just playing the long game."
Coulson,"All right, Phil. Enough sight-seeing. Get back to work."
Coulson,Who needs some sleep? I'll get the next shift.
Elena,Nice try. You slept less than all of us.
Mack,"Yeah, we got to get back to salvage, anyway, so let's hope this does the trick."
Tess,It's got to be remnants. Old transmissions in a gravitational feedback loop.
May,"I'm telling you, it's from the surface."
Tess,That's impossible. Nothing can survive on the surface.
Man,"Virgil, come in. Do you read? We haven't heard from you in three days. Please respond, Virgil. Have you secured the delegation?"
Coulson,"He's talking about us. We're the delegation. Whoever that is knows we're here, knows why we're here."
Elena,So there's someone out there.
Coulson,We need to find them. We need to find a way to get up there.
Tess,No. You're not listening. Nothing can survive on the surface. That's where they send people to die.
