character,line
Daisy,"I mean, everyone in S.H.I.E.L.D. has flown a Quinjet. Literally everyone. I hear take-off is a piece of cake."
Mack,Then how are you gonna get the hangar doors open without Director authorization?
Daisy,This is the only way to bring back Deke and Simmons.
Mack,By stealing the Quinjet? Abandoning your sister?
Daisy,"No. Well, yes, actually. Exactly that. If we're gonna beat Sibyl, we... we have to be unpredictable. We can't..."
Mack,We can't play by her rules. How's this for unpredictable? Authorization granted. Now give me that seat before I change my mind.
May,First Simmons and Deke. Now Mack and Daisy.
Coulson,They're heading to space...
May,This isn't smart. I don't like it.
Coulson,"I do. If you're trying to beat a super-computing oracle, you have to go against the flow. Shake things up. Director of S.H.I.E.L.D. going rogue..."
May,"Yeah, I've seen that happen before."
Coulson,"It's up to us to predict her next move. What were you feeling off her... you know, aura or whatever?"
May,She seemed sincere. Her rage was tamped down.
Coulson,"Why don't you take a run at her, see what else comes to the surface?"
Simmons,Leave him alone!
Deke,"It's okay, Jemma, he's got nothing... Oh! Okay. That was something, but I'm okay. He'll tire out eventually."
Garrett,Someone's got a mouth on him.
Nathaniel,"Physical pain won't break you, congratulations. Now let's try the emotional variety. That's usually a little harder to break. What if I crack her skull, put her in a coma, and then go fishing around in her brain?"
Deke,Stop!
Nathaniel,How is she blocking me from Fitz?! Never mind.
Deke,If you think that you can...
Nathaniel,That's for my old man. Find a way to get whatever that is out of her head.
Sousa,"Guys, my stomach feels... Whoa. Thank you."
Daisy,"Now that we're out of the atmosphere, we should be able to lock on to the Zephyr."
Sousa,My goodness.
Mack,"It's really something, huh? All right. Better strap in there, buddy. This next part's gonna be tricky."
Daisy,"Seriously, if this isn't timed out just right, we will freeze to death in the dark void of space. So, buckle up, Danny Boy. Okay. Triangulating burn path to Z1."
Mack,"Executing controlled burn in 3, 2, 1."
Kora,Where's Daisy?
May,"Places to go, people to see."
Kora,"Well, I want to talk to her."
May,"I can feel your disappointment, but I was hoping that you and I could get to know each other..."
Kora,I already know you. The Cavalry. I saw how you handled that poor girl in Bahrain.
May,She was out of control. I made peace with that a while ago.
Kora,What you did was sickening. She was just a child.
May,Who would have done worse. Isn't that what your list is about?
Kora,She had a power that she couldn't control. That wasn't her fault.
May,She fed off suffering. Do you? Did you take pleasure in killing?
Kora,Li thought I was out of control.
May,You were. I saw it.
Kora,I was being confined. Suffocated. I needed out!
May,"Okay, calm down, show me that you can control your power."
Kora,Or what? Huh? You'll strangle me?!
May,Kora...
Kora,You want to see control?
Coulson,You okay?
May,She took out the Lighthouse's power with one punch.
Coulson,And lowered our firewalls... for Sibyl.
Coulson,That's what Kora was here for. Sibyl was still in the power grid...
May,"Yeah, now she's back in our computers. At least she's just code."
Coulson,"I know what that's like. Thirsty, Sibyl?"
May,“I know only hunger now.”
Coulson,That's not creepy at all.
May,“You killed my Hunters. Prepare to meet the same...”
Coulson,"You know, maybe don't recite the messages out loud, I can read English, so I'm good."
May,"Hey, can you read the rest of it? You just said you know what it's like to be code."
Coulson,I don't... think so...
Daisy,"We're never going home, are we? You think it's still out there? The O.G. timeline?"
Mack,"I pray it is. But... who knows? All right, this should be everything but the life support and grav systems. Okay. Should try to conserve oxygen."
Daisy,Enoch said this will be the team's last mission together.
Mack,Even if we survive?
Daisy,"That was my impression, yeah."
Mack,"Well, maybe it's time. We've had a crazy run."
Daisy,"What? How can you say that? It's just... That's it? Just, “Talk to you later?” That..."
Mack,"Look, we have these things called phones. Now, I know... I know you millennials like to use them just for taking pictures of yourselves, but in the ‘80, we actually used them to talk to each other."
Daisy,"I'm serious. What... We're not just gonna turn into the people who used to work together and, you know, “Well, hey, I'm in town,” and, “We used to be close a long time ago.” That's..."
Mack,Sounds like we might.
Daisy,Mack... The... You guys are my family. I don't know who I am without you guys.
Mack,Daisy...
Daisy,"No, it's..."
Mack,You know exactly who you are. With anyone.
Mack,"Ugh, oof."
Daisy,What?
Mack,Really. Subtle.
Daisy,Stop.
Mack,Cool.
Daisy,"In the... In the time loops, we... we kind of kissed. Whatever. He's a dork."
Mack,"See, that's messed up, because he doesn't remember that."
Daisy,Then why are you smiling?
Mack,‘Cause Yo-Yo owes me $20.
Daisy,It won't be the same.
Mack,"No, it won't. But... that's okay."
Nathaniel,But why won't this work?!
Simmons,I'm the only one who can use the device. There's a zero percent probability you'll be able to extract the implant with it.
Nathaniel,Fitz isn't coming to save you this time.
Simmons,You know that for sure?
Nathaniel,"Sorry about that. Just used to getting the things I want, I guess. I'll climb in your mind with you. Find that little wizard myself."
Simmons,"The more you dig, the deeper Fitz will go until he's disappeared completely."
Nathaniel,"Then the race is on. If he moves, kill him."
Enoch,We must act now.
Fitz,"Yeah, of course."
Enoch,This will be the hardest thing you have ever done.
Nathaniel,"Hello, there he is. Now, let's go deeper. What happened next?"
May,Power's back up in the rest of the base. Yo-Yo said the prisoners are... What are you doing?
Coulson,Sibyl's looking for something. Communication files.
May,You can read it.
Coulson,"Ehhh, I'm getting bits and pieces. I'm trying to slow her down by disrupting the log aggregation, and that is literally the first time I've heard those words out loud."
May,How do you even know what that is?
Coulson,I don't know what that is. I just... know how it works. But all I can do is slow her down. The only person who can purge her from the power is...
May,"Kora. She got Sibyl in, so she can get her out."
Coulson,We got to get her to come around.
May,She's due for the Coulson talk.
Coulson,"I don't think so. That's your duty now. I've got a new superpower I'm very busy with, but so do you. We're not who we used to be."
May,"But I... I talked to her already, and... and... and look how that turned out."
Coulson,"You were trying to get a rise. To see how dangerous she is. Now see how good she can be. Like you did with Yo-Yo. Like you always did with her sister. With me. Brand-new day, right?"
Durant,"God! Okay, okay, okay, you got me."
Elena,The automatic locks are...
Kora,"Durant. You know, S.H.I.E.L.D. killed him once."
Elena,He tried to cut my throat.
Durant,"Hey, I was just following orders."
Coulson,"You see? These are the lives Malick is saving, Kora. Not heroes, hit men. Who now owe their lives to him. And so do you."
Kora,You would prefer we didn't survive?
Coulson,We want you to stop helping Nathaniel and the Chronicoms sow chaos. They're tearing us away from a timeline we need to restore.
Kora,There. Now we're a little bit closer to it. Does that feel better?
Kora,I can keep pushing the stream back toward your timeline if you want. Your new friend Sousa would be next. Or...
Coulson,We start checking names off your list? Not a chance.
Elena,What's the first name?
May,Yo-Yo.
Elena,"Why not? Let's hear them. If she's gonna go kill, let's at least point her in the right direction."
May,"There's no name that comes free of consequence, we have to..."
Kora,Grant Ward.
Coulson,He's just a child right now.
Kora,You're not against killing kids. So much pain can be averted with one death. Andrew can be here with you. Rosalind. Lincoln.
Coulson,"Is Garrett next, then? Because it was your Messiah's right hand who made Ward who he was."
Kora,"Without Garrett, Ward would've been worse."
Coulson,"We've seen a world where Ward was good, where he was put on the right path by the right person. People can change. Even you."
Kora,"My mom thought that, too. No, this is who I am. Who I'm meant to be. And someday, I'm gonna show her that."
May,Jiaying's here. How about we show her right now?
Sousa,"We used to hope for this, you know. Everyone in my time. It was a dream, but a dream we all thought..."
